"date","Pixel15540540","Pixel15600539","Pixel15600538","Pixel15600540","Pixel15540537","Pixel15540538","Pixel15510537","Pixel15480537","Pixel15480536","Pixel15510536","Pixel15570538","Pixel15540536","Pixel15540535","Pixel15600536","Pixel15570536","Pixel15510535","Pixel15510534","Pixel15540534","Pixel15570534","Pixel15570539","Pixel15570537","Pixel15570540","Pixel15540539","Pixel15600537","Pixel15480534","Pixel15570535","Pixel15510539","Pixel15600535","Pixel15600534","Pixel15480539","Pixel15510538"
"01-Mar-00",11.001729,11.29309488,11.366388552,11.44225932,9.940336704,10.683583248,10.362489216,9.422590968,8.915677776,9.627516024,10.960435872,9.60061884,8.360921136,10.154997816,9.783590544,8.725319616,7.563839424,7.549902672,7.462069272,10.460709576,10.811269992,11.141077992,10.849303728,11.27724552,6.43148016,8.592088224,10.53793644,9.131101368,8.630433792,9.928466328,10.536387912
"02-Mar-00",0.994228632,0.829108632,0.718981464,2.049198024,1.975070184,1.27722108,1.03477416,0.89166936,0.906609456,0.905797104,0.620036904,2.215565256,2.394766872,1.000801656,2.22889584,1.330236912,1.713933888,1.11329796,1.91636448,0.638251248,1.442055624,0.729181416,1.48976424,0.615963792,2.354582016,2.820313464,0.708034608,7.231713288,1.271577264,0.29428164,0.955657656
"03-Mar-00",1.075537464,1.095770448,1.106481048,1.304666064,1.035293424,1.00162008,0.806244048,0.634866888,1.141670208,1.056930984,1.088432112,0.871669392,4.79418648,1.160913168,3.202042224,1.872049392,2.499117672,2.89135908,2.75592024,1.252504536,0.771878424,2.025977064,1.104179448,0.976346784,3.76407624,2.18325036,0.789175896,3.174301752,4.001695992,0.908687448,0.944130864
"04-Mar-00",6.473765376,8.054361816,4.560311448,5.017600536,3.315114144,5.759300712,4.465415592,12.450482376,11.999253264,5.6499492,4.577940696,4.57001568,6.256945608,6.892807248,6.606815808,6.205470792,6.795569664,5.396839152,6.776189088,5.009815704,3.774835464,5.078477016,5.346081024,4.567442544,6.693068496,6.689713248,7.315564152,6.793772928,6.75045276,14.668360224,5.126925576
"05-Mar-00",8.566029312,8.189344872,7.641290904,9.316557168,9.032250168,8.7206862,10.108846656,11.54404164,13.770100584,14.993555544,8.298939936,9.300290832,12.050936232,10.349507328,8.794442664,13.307129856,16.77168132,12.430439472,9.146864184,5.376409656,8.336615328,7.301801208,9.852781536,6.566138496,16.97171832,8.52817512,9.618903648,9.020927664,11.392829424,8.162715192,10.584044688
"06-Mar-00",13.290455808,13.587790488,12.613811016,14.60249376,14.573578824,14.069734104,12.86303472,11.838915816,9.892991784,10.875058656,13.250945088,12.648844248,8.628215064,12.012167928,10.928210736,7.450785408,6.435395472,6.538429488,6.490222704,13.574369424,14.176717752,12.916608816,13.11383628,12.997843272,5.946418056,8.277652512,13.32966756,7.557057384,5.902146936,12.717141144,13.594259256
"07-Mar-00",2.099805768,2.654356776,2.880083088,2.841054432,1.148389392,1.992971064,1.920131376,2.652583848,2.563666824,2.122503168,1.765055712,0.533738184,0.935209296,2.337513144,2.068220976,2.218020744,1.674102192,1.09269888,1.55938572,1.697645016,1.46174232,3.368058792,1.79745216,2.270415912,2.23677456,1.75272756,2.311467816,2.738321352,2.241492936,2.841931704,2.472462768
"08-Mar-00",2.584750944,4.01637912,3.679889568,2.722343808,4.87349904,3.01210464,5.440390344,6.902644872,8.288056608,9.06297756,3.172078008,6.354800472,7.10126352,4.189741008,5.076045504,10.511345376,10.278049704,9.020365488,6.687899352,2.745401856,3.413971056,1.711316952,3.23761188,4.20603348,6.2282424,6.412553064,3.44716752,4.832676168,5.631106128,3.043875576,4.247066616
"09-Mar-00",5.96115732,6.207623712,6.910046328,9.435971976,4.791042216,5.383144152,5.35138428,3.129323256,19.699334616,6.352987296,7.83648348,7.527135384,9.168764592,6.048734664,6.914787768,10.151327136,5.115242592,7.03352808,4.637031192,6.078615912,9.967227456,28.816123008,7.363986264,25.328398704,7.608236784,5.225439192,6.092081304,5.464906464,7.4382348,2.723791848,3.875042088
"10-Mar-00",28.024549488,30.372390744,27.282148368,28.929422376,24.970341672,28.635314952,27.569769864,26.4266796,25.00065708,23.242542744,27.946589472,22.599964152,23.009197704,31.112294208,24.837103848,20.949173928,17.243817336,22.182190416,24.690836904,29.920555104,25.537236216,26.765810976,28.532466888,28.080977448,17.65304232,25.95221328,27.5568924,34.100134848,31.218163488,30.180562008,25.263238896
