"date","Pixel15810524","Pixel15750522","Pixel15720522","Pixel15720524","Pixel15690524","Pixel15690523","Pixel15720523","Pixel15750523","Pixel15750524","Pixel15780523","Pixel15810522","Pixel15810523","Pixel15780522","Pixel15780524","Pixel15690525"
"01-Mar-00",22.242718224,13.791340824,11.610154152,12.390189168,10.877187264,11.417648784,12.49693536,14.36099196,17.174335968,17.859498024,20.552988048,19.533647064,18.834782112,19.09954548,10.94103528
"02-Mar-00",2.192562648,4.72125828,8.402072664,3.052245144,5.669365176,7.22602416,3.844538208,3.27278424,1.208577552,2.542127976,1.785532416,1.861056456,3.496433256,3.941831952,5.258885976
"03-Mar-00",2.090865264,2.869113576,1.212186288,2.139566832,0.551842104,1.422430344,2.072680776,2.306200152,1.635970296,0.859580568,2.577390072,1.93845588,1.324362696,1.418413272,1.420528824
"04-Mar-00",5.970344784,10.953668832,8.76812196,13.826291088,8.68906044,11.78961396,9.546285864,11.005110024,8.567883264,9.413396352,5.399347536,5.961183072,8.62782168,8.83241988,7.656467904
"05-Mar-00",4.075509672,4.011478176,5.190421344,4.154187792,5.255164872,4.345783344,4.131381144,1.947467736,3.533939112,2.569651176,5.27806092,4.1259402,3.348782664,3.226434936,6.296680224
"06-Mar-00",1.660060656,2.488229688,2.223280368,2.326891248,2.155168344,2.528830296,2.363026488,2.118238992,1.977886848,1.67956728,1.449445632,1.532768544,2.017606608,1.739898384,2.21363604
"07-Mar-00",3.331954128,3.386806368,3.297174816,3.522866256,3.681056856,3.210062736,3.293105016,4.0377642,4.182251568,3.095989104,3.140017032,2.955240552,2.40596832,3.371374008,4.131605376
"08-Mar-00",4.232012976,5.377284768,3.329213976,4.059520488,4.25395704,3.828507552,4.175906544,5.015783424,4.895521056,4.546716936,4.218251472,4.211610672,5.455745448,4.36431492,4.03177572
"09-Mar-00",0.338788752,0.061519824,0.076335672,0.033207696,0.064996608,0.068509584,0.070438248,0.034051704,0.194412648,0.082737984,0.124074552,0.11392932,0.06083688,0.127934448,0.234982176
"10-Mar-00",22.037867544,16.794592392,14.431776528,14.91967536,15.223524576,14.416372776,14.511713496,16.659733776,16.834485048,19.540330416,23.44924164,22.578414912,20.350031376,19.824155328,18.54342984
"11-Mar-00",5.812647336,4.146694416,3.380459544,2.218018944,2.930412048,3.167569032,3.236194248,3.310624488,2.83596324,3.348553056,3.02141904,3.241084464,3.362684016,3.139523496,2.649798456
"12-Mar-00",0.441211584,1.159498032,1.909164552,3.735079416,1.90026552,2.361040224,1.879772712,1.388033424,1.559411112,0.847029096,0.568251408,0.460850232,1.025380176,0.775055136,3.996762168
"13-Mar-00",10.842963696,9.272153376,10.539796104,11.871127368,11.540014752,11.097518208,10.291625256,8.720313552,10.670309544,9.280275096,9.93930744,9.93445944,11.887095456,10.071046104,10.865831856
"14-Mar-00",3.046832808,2.367074136,1.438907784,1.473654264,1.68398292,1.401765168,1.44990348,3.281547552,2.262856896,4.2392646,3.666207792,3.043104528,3.036540624,3.592673424,3.201315888
"15-Mar-00",2.539446648,4.563432456,6.625290144,5.630272872,7.93356156,7.545413736,5.005737312,3.70495392,2.129715096,3.992254608,3.335697048,1.64483088,6.73348116,2.815532328,8.794803144
"16-Mar-00",16.449824808,15.427017696,11.278435704,15.770174496,13.359074592,8.70624948,13.201611048,16.843796256,18.064806456,15.34440564,15.051120768,14.729114064,13.78322268,16.439229,14.073599328
"17-Mar-00",8.782881984,8.01886512,8.259722472,10.313521392,7.874442816,7.584466704,8.369112264,8.26532436,15.260056968,8.120639568,8.504952912,9.525819552,8.449554912,9.069335472,9.938597208
"18-Mar-00",9.108792552,14.66129064,15.313801296,14.249562264,15.974488728,15.983098992,15.22601796,13.964019288,12.225379944,11.689561848,9.807450048,10.313111544,11.734258176,11.541096216,15.878551488
"19-Mar-00",1.336775784,5.188005576,1.328644224,2.031776736,1.040195424,0.488064864,1.445923368,3.209211936,4.402689816,0.93573948,1.215236208,1.150628952,1.113012408,1.371262728,1.787963928
"20-Mar-00",3.459688776,5.89295196,4.162904616,3.155881056,3.357551328,4.159214616,4.55447424,5.436205392,3.243484848,18.514453416,9.227809656,5.96817792,14.542867176,8.1232152,3.377312424
"21-Mar-00",3.589180104,1.388396064,0.347367144,1.265500104,1.379469672,1.254560616,0.923518896,1.130998392,4.135868304,8.451909552,1.642025112,3.220196832,8.527766712,2.510191272,1.672756968
"22-Mar-00",13.17395496,2.700216648,2.5999344,2.312988816,4.483549464,3.860525256,2.018760312,2.376768,4.67771172,5.168215512,9.214844232,8.876739264,10.58649372,6.019378416,3.161005128
"23-Mar-00",10.669275288,7.817804568,5.808100464,3.357155088,2.321828304,4.095486768,5.642433648,7.80263256,6.913071144,10.083923568,8.099957952,9.75975252,9.666554688,10.248295776,2.847332064
"24-Mar-00",0.647824776,1.438362024,1.281111888,1.438076736,1.112934984,0.878220048,0.892008744,1.117442064,1.365120288,0.978005376,0.74466912,1.093666176,1.029601872,1.325583984,1.277596872
"25-Mar-00",0.170330856,0.169029528,0.531681648,0.06872172,0.106727928,0.086680104,0.134985888,0.15954528,0.083113488,0.146630544,0.597569928,0.119754192,0.163458576,0.127317504,0.12034236
"26-Mar-00",7.422396192,6.070421208,4.625329608,4.45947396,3.07705092,3.051358944,4.308603648,5.5540452,5.616593952,8.07228612,9.945303432,8.932473432,8.759016744,6.674700024,2.596128696
"27-Mar-00",4.896717312,2.346114096,1.290370704,1.315575768,1.244558304,1.522697736,2.291266848,2.486667048,2.264151864,3.802615992,2.922238824,4.015916712,2.679128952,4.01413428,1.3190496
"28-Mar-00",2.463775992,2.195985144,2.033569152,2.55301524,1.865214408,1.328895456,1.97935224,5.711525928,4.469585544,1.526098776,1.661564472,2.094582264,1.976027904,1.97339076,1.532952912
"29-Mar-00",0.876148752,3.423406728,2.70384156,4.17750192,4.82065416,2.84178972,3.874788888,3.16546296,3.77369856,2.37290328,2.872027512,1.88769168,5.374897608,2.751673584,8.402358768
"30-Mar-00",17.620120536,9.023376696,7.531916136,4.844002968,3.753860232,5.581075776,4.524710304,8.37602664,8.582074632,13.367075448,14.853394032,15.9043908,9.620099544,13.875881184,5.251561752
"31-Mar-00",2.985253584,2.703547944,3.11764956,3.573447,3.775444872,3.80342496,3.762641424,2.723149176,3.65409888,2.10842532,2.387572656,4.5820434,2.080410192,2.147245824,3.126016968
"01-Apr-00",0.207612432,5.055376776,0.368927088,0.498275544,0.501225696,0.491631336,0.488594496,0.234382848,0.410835888,0.414320376,0.357168576,0.051241128,0.286820256,0.709340568,1.44456696
"02-Apr-00",5.79466224,7.97328972,8.267521608,9.398458248,9.036663288,7.56789564,7.844707488,10.306354512,10.821858648,6.322274928,4.398165456,4.818260544,6.143129832,6.909355392,9.493070832
"03-Apr-00",12.100809576,20.75779152,17.19092988,17.960811144,17.701676856,17.05175256,19.5676074,18.45885516,19.691514024,14.516554344,14.598654264,13.7315712,15.06190968,13.532735832,16.596457968
"04-Apr-00",10.576259136,14.133082872,14.648095608,14.912062176,15.753623496,16.551637176,14.726470464,14.63225412,13.52825832,15.414557928,7.65449952,7.741315128,31.050413136,15.868088712,16.714842792
"05-Apr-00",2.100531408,3.221671704,4.976361048,8.808269256,4.214799648,4.269180168,4.823504088,21.226384152,4.096027128,6.949739448,6.660669576,2.645438256,10.14189648,3.223098984,23.480642784
"06-Apr-00",5.343000048,17.959320552,7.301866296,4.947100272,5.69995272,7.547427888,6.77802228,5.367103104,5.627391456,6.840671544,9.428059824,5.69796288,9.953068248,5.635615824,6.885327816
"07-Apr-00",0.427563912,2.450780688,2.177375616,1.71840816,0.789248592,0.77338608,0.884285856,2.818412664,2.667693432,1.027968576,0.484705968,0.98462364,1.331050776,0.943152312,0.60336324
"08-Apr-00",1.51973676,4.909823664,3.36787068,6.635286576,6.998201616,6.17561388,5.379984504,3.734689584,5.762552256,2.163234288,2.086431384,2.18782944,1.758093408,1.928480568,5.498746632
"09-Apr-00",11.06698752,7.666110984,7.06799556,2.687476152,3.495097872,3.886232616,2.519863848,3.341876496,5.380598184,8.452104096,10.682131296,14.706318864,9.629826312,12.34994316,4.268163792
"10-Apr-00",11.9382906,20.425951488,10.629743808,10.897209408,8.477417712,7.409664624,13.402248864,23.714096544,23.314167024,13.734110352,15.079646592,13.436089032,13.95836592,11.540591232,10.648074384
"11-Apr-00",18.820977696,9.264735456,9.610454328,7.63403892,7.541117184,8.41191888,8.327326296,9.697799208,15.740944872,15.291661272,15.269378184,18.551000112,8.648977512,16.247965344,6.538965936
"12-Apr-00",0.765266784,2.642742624,2.955354096,1.381330752,2.292493704,3.092235792,3.020431632,2.065315776,0.918095208,2.029282632,0.560454048,0.42430308,1.830344808,1.279230408,5.15747952
"13-Apr-00",3.868613352,4.729534512,4.591402176,4.440888768,3.445760976,3.702973008,3.668132184,5.620117296,4.3919946,4.791994224,3.902611608,3.769692768,4.451988456,4.739392152,2.852260344
"14-Apr-00",0,1.845381792,3.136907448,3.909769176,5.995580424,4.797758472,3.118798248,1.26671076,1.53601116,15.152698512,0.035867088,0.026023416,16.345948224,0.056728488,6.269812344
"15-Apr-00",35.300614368,38.433202752,41.565444936,45.100556376,46.300077432,42.73637868,42.874637592,38.802915576,43.586777688,46.150497432,36.256891248,34.38231468,42.360483168,47.525979984,49.367277144
"16-Apr-00",0.078716496,0.202245024,0.0493092,0.27305124,0.2980566,0.171549384,0.241497192,0.193261416,0.18620796,0.102723192,0.079782024,0.10923528,0.111659784,0.135127704,0.212097672
"17-Apr-00",0,0,1.546737504,0,0.444073536,0.459064992,0,0,0,0,2.288992344,2.246420688,1.914195648,0,0.449555256
"18-Apr-00",6.852049104,2.806577688,2.248360272,2.335440528,2.933407368,1.496176512,3.435483816,3.063801168,3.96572256,7.432270992,6.275176752,6.934983024,4.82407308,8.775328872,2.78861832
"19-Apr-00",14.028768528,10.40890788,7.81889964,8.535997872,8.287362816,7.09205604,7.413717984,10.578686712,10.450947768,15.289685736,11.389145136,12.493688112,16.0397172,15.214014528,10.343195904
"20-Apr-00",2.150865912,4.723908312,7.827417624,7.564917336,10.99787664,8.629987488,8.186721336,4.654963728,4.63293564,2.583248904,3.177285792,2.289229104,2.637739776,2.123633256,7.629488472
"21-Apr-00",1.340394624,2.158491432,3.527842272,2.083148544,2.176652856,5.016358128,5.530517232,1.678331664,1.29387072,8.41240812,7.719968328,11.152672296,1.78712208,1.688762616,1.632594456
"22-Apr-00",28.948130616,19.273816104,16.459279056,18.531736848,16.789144992,17.43429852,18.493175976,23.078352936,25.133228304,25.112108232,24.972702024,28.151782032,22.020834456,27.161350248,14.7769332
"23-Apr-00",6.909842496,8.528612856,10.334872488,8.450430384,9.436206576,9.9786036,8.68263888,11.21718336,8.714989896,11.21455764,8.137799976,7.672167072,13.065432072,12.116899968,6.680664528
"24-Apr-00",17.06541108,9.001425504,8.96130324,9.650698896,8.297620296,8.538491976,9.088327656,10.063070304,8.716602096,7.096576464,5.308281552,6.83777832,7.1593566,5.891345496,8.954305176
"25-Apr-00",16.171301376,16.10491704,17.148641112,17.4208002,20.687828064,19.953663816,18.083899488,14.767227168,15.726505272,15.580405704,16.6505742,14.249735352,15.69171096,16.424802312,20.22512484
"26-Apr-00",0.285888288,0.070558512,1.209212592,0.222659664,0.2811168,0.265659504,0,0.08833704,0.01115976,0.279260136,2.51608836,0.484492464,0.73570464,0.372641352,1.107755448
"27-Apr-00",21.670113096,17.467190256,15.567142008,18.317128656,17.942044248,16.893151752,17.0683794,17.737216464,18.96530772,19.832363616,18.51211596,20.652111048,19.057721616,20.990670216,24.807681072
"28-Apr-00",1.441629048,0.017842248,0.073031568,0,0,0,0,0.096737424,0.144230592,0.167884152,1.247901768,0.120803376,0.137017176,0.213233592,0
"29-Apr-00",2.697834144,5.77635312,3.303425064,5.025905376,8.885441064,5.76296568,3.796536336,2.466927576,7.288174152,3.551762232,2.175224832,2.281040136,3.920721168,3.339583752,6.373078824
"30-Apr-00",6.376444104,5.592314952,3.196737168,4.633600824,3.185541264,3.04030932,4.846485984,5.633319504,5.68054212,4.714266648,6.296697384,6.447839496,4.415067312,5.316046368,4.73835684
"01-May-00",6.589574568,18.92735052,3.688367136,5.782381296,5.323114872,9.550334208,3.972441312,6.07896924,5.288339856,5.660212752,6.045176976,6.379589808,5.716082088,15.200682168,4.008462312
"02-May-00",11.00093292,7.17303156,6.107419248,8.725276704,8.683358424,5.108648304,7.349239824,8.158265592,7.29129552,11.53953696,9.020432712,6.237803928,14.356345656,8.921763192,25.730066304
"03-May-00",10.316475384,5.228518008,4.851293208,4.0186404,4.193089128,4.318300368,3.732816336,4.370310192,4.532775168,5.565573336,8.666583528,6.083079096,6.304392096,6.511402848,2.447373936
"04-May-00",0.2064288,4.096915488,5.122393728,3.345414528,2.499879768,3.558769944,3.53197824,5.337838776,2.278506696,0.672305256,0.254936424,0.245364576,0.791717568,0.635594808,1.138837248
"05-May-00",2.588361024,2.788305048,4.433389296,4.019854176,4.746231792,4.558931712,3.467764368,2.897090256,2.638317,1.576596024,0.763671936,0.821446272,2.25891744,2.230672536,5.61476004
"06-May-00",4.370312328,5.672818776,6.292216296,6.855159048,0.936817368,1.390707312,7.223349816,11.552410128,19.085915568,3.538426632,2.615549136,3.92156088,2.543514144,3.267973056,3.096813792
"07-May-00",4.702602984,5.379561072,5.7133212,5.502444864,6.965483664,7.626701832,5.124060624,4.106874696,6.613345392,21.322847832,2.054714256,2.624794728,1.450014,2.499062592,2.451437304
"08-May-00",2.118530088,1.132601568,1.41635004,0.756423096,0.699852168,4.649806392,1.479261336,1.164813096,1.113378432,1.278363624,1.457624952,1.51688916,1.750734504,2.248796592,0.620388096
"09-May-00",4.979745624,5.235548616,4.872497688,6.486926784,7.050310848,4.960739856,4.96325076,6.511652472,4.828924296,4.71889044,4.696652064,4.797299256,5.89637196,2.192068392,6.083277216
"10-May-00",16.224075792,10.475821488,8.493897912,12.584127912,12.773932464,9.452959296,8.761346352,13.057369704,18.657198432,13.991542344,15.294038784,13.241043096,14.423572536,15.80177736,12.225914952
"11-May-00",13.75528764,16.366528992,15.264571656,13.952459328,12.305115216,13.78694916,16.134459984,16.122057432,13.793313504,16.579772472,13.846947672,16.183755408,16.807921896,14.168187624,11.249000784
"12-May-00",5.538842448,3.601168872,3.674152488,4.23132528,8.011054512,8.369986296,3.839286456,3.204375744,3.233526,5.72528136,9.187756056,6.541500816,5.625133752,4.734286656,5.861280072
"13-May-00",23.097896568,17.57159472,8.743703136,10.596656808,6.015638352,5.209454304,4.872745872,13.110049728,15.568935864,8.042406312,11.3124876,12.77929116,6.16244388,9.81227088,12.079380504
"14-May-00",4.78742088,9.595637088,4.486961952,1.969007664,2.018569176,3.321581472,3.300395616,4.539175632,3.6076194,4.228955616,6.302481648,1.773235032,8.228083848,5.550547248,1.776808968
"15-May-00",0.014958888,0.841271736,0,1.05025524,0,0,1.065716208,0.847302144,0.834709608,0.366682608,0,0,0.367056072,0.38507652,0
"16-May-00",3.868837248,5.328351264,6.248605008,1.745368656,1.72469652,4.475643048,4.293154824,2.109550056,0.063447744,12.106445784,19.820948112,13.056820392,18.84391452,3.602118024,0.118449264
"17-May-00",20.598122112,0,0,0,0,7.13655924,0,0,0,1.489892184,0.562559328,14.08324956,0,1.422100344,0.37465908
"18-May-00",3.827439312,13.32950448,13.785983568,14.643294816,16.110567576,16.128663528,15.096755496,12.112515456,11.740230552,4.788274536,5.065113552,3.652764912,8.5763526,6.296648736,16.592963208
"19-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-May-00",0.024411216,0.111769008,0.03236352,0,0,0.01457064,0.014212512,0.011474976,0.2318688,0.028597392,0.034816344,0.035004576,0.02851632,0.0515622,0
"21-May-00",0.501259128,0.236210376,0.125564016,0.104671824,0.098286528,0.070209024,0.130051488,0.189592224,0.21620352,0.288244512,0.145143528,0.299290224,0.116710992,1.752949656,0.108078432
"22-May-00",0.150898368,0.133222368,0.128820624,0.092818632,0.088041936,0.090250008,0.1246164,0.159326904,0.112515,0.213712728,0.265477344,0.261367176,0.71582088,0.209400168,0.067697208
"23-May-00",0,0,0,0.067007304,0.063809256,0,0,0,0,0,0,0,0,0,0.048345576
"24-May-00",0.552755808,0.01431876,0.13990548,0.130058688,0.131895144,0.55322952,0.13069236,0.184698144,0.166179288,0.251443896,0.348595272,0.45986076,0.17192664,0.473432112,1.497842424
"25-May-00",0.301071912,0.830107488,0.600872808,0.887003472,0.74054172,0.774606864,0.73378836,0.791237088,0.784945776,0.560607384,0.45982284,0.366222648,0.998734296,0.3275376,0.733161624
"26-May-00",3.058483968,2.085619752,2.005047432,2.008710792,1.998346032,2.013447216,2.0235318,2.105736312,2.14808124,3.043892016,3.237533928,9.593034264,7.571627856,3.065434104,1.875246216
"27-May-00",2.619685296,1.769430216,2.244306216,1.687959024,1.67924916,1.76003784,1.700413416,1.76949156,1.74078924,2.060396256,1.413348744,2.074983888,1.363835256,1.979539104,1.575806208
"28-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-May-00",1.314629664,11.172925464,2.179322184,0.015864888,0.11998284,2.213546088,2.232580128,0.045456072,0.018566136,1.492833768,1.568184624,2.363284536,2.132833776,1.160044128,0.090905904
"01-Jun-00",2.823123336,8.77733088,1.992898992,4.961744064,1.974106728,1.99104756,2.543761968,5.316049584,5.285072928,2.814027432,8.997083184,3.437955024,4.778055312,2.342657976,4.811989536
"02-Jun-00",0.36660876,2.727329136,2.687103336,1.497651984,1.001715576,1.573211256,1.495955136,1.760123664,1.388911296,0.37940628,0.226327272,0.324424704,0.405766056,0.501176352,6.069979896
"03-Jun-00",10.376772168,6.211713552,5.486342664,4.18034292,3.837261192,4.510519632,2.79833292,9.852128496,5.3332944,7.513521192,11.611118328,9.512155296,10.567205424,5.494437936,7.251218328
"04-Jun-00",3.3905958,8.433425184,6.558963072,4.593592992,2.591482944,5.631028176,9.097560168,7.548226128,40.686146736,5.562279936,7.079239368,2.91309912,6.637003176,2.9827062,4.828572024
"05-Jun-00",3.03115404,3.886732224,3.969797376,4.969665168,6.208028544,4.881768456,4.162386768,5.295315384,8.75408292,11.764403352,2.399693904,3.239632128,3.246342312,4.096780656,6.04408836
