"date","Pixel15630523","Pixel15630521","Pixel15630522","Pixel15600520","Pixel15720522","Pixel15690524","Pixel15690523","Pixel15720523","Pixel15690522","Pixel15690520","Pixel15690521","Pixel15660519","Pixel15690519","Pixel15660522","Pixel15660521","Pixel15660524","Pixel15660523","Pixel15630520","Pixel15660520","Pixel15630519","Pixel15720521","Pixel15720520"
"01-Mar-00",11.366196144,11.610467424,11.784576408,7.2935586,11.610154152,10.877187264,11.417648784,12.49693536,10.888196472,12.061586376,10.654621128,9.357944736,8.935772184,12.581036568,13.559379096,10.63224792,11.285247096,9.041008464,9.321967368,8.975273616,11.523658272,11.508993384
"02-Mar-00",5.983371384,5.841308352,5.541681288,4.298627616,8.402072664,5.669365176,7.22602416,3.844538208,7.612542624,10.004770512,9.464522832,5.995143048,6.104166984,7.66868592,8.805406104,6.749495736,8.202584976,4.633157376,9.1624446,6.18751788,7.899087672,5.417150616
"03-Mar-00",0.434775624,1.814439288,1.306748976,1.413783264,1.212186288,0.551842104,1.422430344,2.072680776,1.06719036,0.547479576,1.259265672,1.569196176,1.325964864,0.957801192,1.495807176,0.541649304,0.355221912,1.685793768,1.439942664,1.502095704,1.019470368,0.19053744
"04-Mar-00",8.838973752,11.20019244,9.667740576,27.258885384,8.76812196,8.68906044,11.78961396,9.546285864,8.86279608,15.804036144,10.809556968,16.286931048,16.645287048,8.841810456,9.163827192,9.587916624,8.697445392,15.588011736,13.521776688,15.691360464,8.929757592,16.765427112
"05-Mar-00",6.851878872,7.791226392,5.719934472,10.171516656,5.190421344,5.255164872,4.345783344,4.131381144,4.187413584,11.759911536,4.76578152,14.449939728,8.138201232,4.212994704,5.986387968,6.020477064,5.739734184,8.723495016,13.684757712,10.536425832,5.34344244,5.871631272
"06-Mar-00",2.341495872,2.14515048,2.377110432,1.056983928,2.223280368,2.155168344,2.528830296,2.363026488,2.58888888,3.200896032,2.430674136,3.089872968,4.397247072,2.151115008,2.192685672,2.17664928,2.19050772,0.98894136,2.60861028,0.97360764,2.471513088,2.962833696
"07-Mar-00",3.138518928,3.713921784,3.974888208,5.720719824,3.297174816,3.681056856,3.210062736,3.293105016,2.574745056,2.883298512,3.334382424,1.716749664,2.21413404,4.38352812,3.857490768,3.158052552,3.468292944,5.119527336,2.682833976,4.512721896,3.741700536,2.6828034
"08-Mar-00",4.494676344,4.275513768,3.472447512,4.068359616,3.329213976,4.25395704,3.828507552,4.175906544,4.065506112,4.878394968,3.743574504,3.743564496,4.429072032,4.262123472,8.409090768,4.749498,3.849167712,3.6664356,5.778992784,3.515803104,3.827152848,4.705237632
"09-Mar-00",0.057350904,0.251956512,0.220472856,0.027164784,0.076335672,0.064996608,0.068509584,0.070438248,0.078506064,0.195677592,0.507633144,0.447362832,0.474841344,0.067277928,0.747300456,0.408386616,0.070743264,0.194510232,0.373508856,0.220371264,0.096832248,0.062063016
"10-Mar-00",17.59733676,17.117241384,16.395421032,11.315464488,14.431776528,15.223524576,14.416372776,14.511713496,14.509653576,12.967593672,12.995136744,12.13682556,13.078338144,16.292894832,15.315145968,15.916000848,15.424634448,15.484329696,14.000651832,13.826313984,13.854147432,13.683757776
"11-Mar-00",1.608369648,1.122793344,1.683045744,0.394508544,3.380459544,2.930412048,3.167569032,3.236194248,3.919359672,2.820089232,9.090702288,2.997843864,3.259806984,3.328547352,2.736982224,2.88462264,3.064998864,1.185670944,2.630202408,1.495807344,8.470059168,2.808606144
"12-Mar-00",5.086966032,1.856644752,2.43931656,2.113587672,1.909164552,1.90026552,2.361040224,1.879772712,2.301989616,2.841168528,2.353596576,1.718485056,1.92498816,1.788763224,1.926402024,1.476459672,1.444887408,2.464216416,1.619221152,1.69491792,2.064438168,7.084223976
"13-Mar-00",9.920155056,10.834429968,10.393774512,13.392910488,10.539796104,11.540014752,11.097518208,10.291625256,10.902293448,16.440277584,11.49647856,11.196254256,10.258468872,10.815035112,11.251985544,10.209428064,10.767642264,13.666661736,11.66713572,9.586799376,10.743428712,10.864430664
"14-Mar-00",0.631930176,0.23548704,0.295666824,0.343417848,1.438907784,1.68398292,1.401765168,1.44990348,1.068369888,0.188380008,0.38618508,1.075395408,0.736557312,0.608357448,0.327420696,1.476781272,0.587609856,0.377925888,0.05487492,1.218653712,0.80824944,0.448061976
"15-Mar-00",9.572796096,7.974970584,10.422341832,5.120061984,6.625290144,7.93356156,7.545413736,5.005737312,6.347948304,6.926876304,6.834837192,8.147141928,8.634060144,7.686759,8.08846164,7.131274944,7.689675096,6.559304952,7.92277836,5.457588312,7.264055016,4.735252272
"16-Mar-00",6.80047488,8.937471624,9.049503576,7.760237928,11.278435704,13.359074592,8.70624948,13.201611048,7.69193388,7.79662944,7.253066544,7.065597288,6.444575064,8.433276408,6.906410688,6.936762576,8.490738624,7.467731232,6.726188424,8.657388936,9.907816176,14.785673616
"17-Mar-00",6.458952432,15.12286092,4.05069996,4.372371912,8.259722472,7.874442816,7.584466704,8.369112264,7.67089104,5.527499904,6.327755208,3.600395328,6.022104264,5.798615088,7.545006048,7.07425332,6.42965484,3.74184216,5.018904456,2.943518928,7.279927968,8.023065096
"18-Mar-00",17.599678512,16.076109408,17.471795088,9.966045864,15.313801296,15.974488728,15.983098992,15.22601796,16.303045752,11.05497408,14.383337976,10.674476616,8.980288992,17.161087992,16.062244896,17.707421784,17.262402528,12.945635328,12.19026948,11.468330376,13.96923924,9.472376352
"19-Mar-00",0.59729964,0.1814274,0.085214712,0.131528808,1.328644224,1.040195424,0.488064864,1.445923368,0.45287736,3.166328064,0.426530688,0.904724304,0.446583288,0.1218642,1.392824304,0,0.034918824,0.196035936,0.49933008,0.504987576,1.678614912,3.731658336
"20-Mar-00",2.776903872,1.767523344,2.016760656,1.888914216,4.162904616,3.357551328,4.159214616,4.55447424,3.04455936,6.335874792,2.670437688,3.099278568,3.906206136,1.243194768,1.17376524,3.503108736,1.60990512,2.64707064,2.264695104,3.828212136,2.454356784,3.83579028
"21-Mar-00",0.721282224,2.292791256,1.391340504,1.215701136,0.347367144,1.379469672,1.254560616,0.923518896,0.704637552,1.72079748,1.508360808,2.637149328,0.182667456,2.27270544,2.643516192,1.543635792,1.399627992,2.072018976,2.375310312,3.084833256,1.427983056,2.026953048
"22-Mar-00",4.337651976,6.855403656,4.514440296,3.126902472,2.5999344,4.483549464,3.860525256,2.018760312,4.069563024,7.533698568,4.524250392,8.587321032,14.9049096,3.980245104,7.722089064,5.170593024,5.422777896,9.273621792,10.933429248,9.653418312,3.397661088,6.275681736
