"date","Pixel16410453","Pixel16410452","Pixel16380454","Pixel16350454","Pixel16410454","Pixel16260458","Pixel16260457","Pixel16350456","Pixel16350455","Pixel16350457","Pixel16380457","Pixel16290457","Pixel16440453","Pixel16440454","Pixel16410455","Pixel16440455","Pixel16320456","Pixel16290456","Pixel16320457","Pixel16380455","Pixel16290458","Pixel16320459","Pixel16320458","Pixel16380456","Pixel16440452","Pixel16170455","Pixel16260456","Pixel16230456","Pixel16320455","Pixel16410456"
"01-Mar-00",66.581073768,55.626153936,69.857654568,69.325710288,69.98942184,51.292482384,50.974222176,64.91648484,67.089094152,62.146865856,67.273138056,57.181377408,67.012104024,72.24892044,70.615201944,71.207691192,60.998411184,59.793302544,58.669200888,70.305204384,56.474252712,58.296907416,55.716459264,69.197771064,61.309879296,28.698454848,54.542306904,43.502162928,62.00972556,69.490734096
"02-Mar-00",0.022391232,0.13549068,0.21580008,0.352219872,0.174593712,4.561648968,4.437881832,2.494763184,0.980359104,3.27057768,1.579749768,4.515911928,0,0,0.20621052,0.558895728,3.182834736,3.718895328,4.171320672,0.376458144,4.736824392,4.51203024,4.092446568,1.048678824,0.022232184,4.528116336,3.594258072,4.42794264,1.657916496,0.537095088
"03-Mar-00",0.933815088,1.049004,0.410361624,0.405384384,0.527970528,0.648862392,0.83054664,0.840011088,0.366034128,1.164936936,1.521403128,0.297208848,2.261269392,1.534703664,1.289760936,1.03391952,0.686080632,0.238114392,0.776428512,0.708099696,0.38241144,0.867843384,0.840561576,1.118905128,1.5546012,0.409060968,0.011617368,0.553399392,0.230298192,1.598368584
"04-Mar-00",11.01652836,7.955421936,9.666247128,10.535581104,13.308091152,7.73676324,7.281603816,7.526166192,10.386338712,8.32996416,16.189943784,5.046968568,10.8258834,13.864100928,12.039353376,14.025931824,5.585486424,4.812986976,5.594287632,11.08415436,6.0929532,7.815763224,6.304780488,13.987767216,7.306682112,4.19394528,14.19934416,12.659600256,9.431797752,12.6400938
"05-Mar-00",23.171658048,25.052847864,23.317977912,23.492474544,20.471815104,15.134802816,16.318842888,17.557810296,22.012663368,15.142775064,14.128528128,16.57180452,19.685887824,19.641407496,19.287852288,15.733490472,19.000057704,18.607695576,16.06446504,20.272337448,14.329165944,12.854345808,14.816724312,17.261625768,24.060070032,17.711272728,17.720548152,16.069211472,21.773494728,14.026684296
"06-Mar-00",5.09251212,4.977318048,4.790394912,3.345089088,5.8165326,7.062970872,5.421120288,6.331656936,5.448144432,6.614238744,9.255929232,5.440718304,5.124054552,5.743856904,9.33387924,8.246862168,4.901700864,7.701914544,7.467176904,7.850940936,7.34101224,9.772661448,7.059593448,7.43709684,4.7775228,3.86088324,6.417863136,6.663742296,3.964676136,16.422204504
"07-Mar-00",0.011247024,0.013233792,0.010913664,0,0,2.914607592,3.225921744,1.85679228,0.011661768,3.011292816,4.174675224,2.362801728,0.012593952,0,0.011609688,0,1.588916112,1.31670732,0.791799096,0,1.98809712,1.383286272,1.315311576,3.668906808,0.026000112,0.151937328,2.835602592,2.396816784,0.026939592,0.07197612
"08-Mar-00",2.72037864,2.706334584,4.961199048,2.071848936,3.631467096,12.315482136,4.625180136,3.088527552,3.505627152,2.510487384,5.027237544,4.139587992,2.534875464,3.260436408,6.788348448,3.998570328,2.689148784,1.83926064,2.800285584,7.550466288,4.17012192,5.14595532,3.524301408,5.201644416,1.78713816,4.306517232,3.476760504,2.855092752,2.445843984,4.183517208
"09-Mar-00",7.352035056,5.364109752,6.95041896,5.084434032,5.670219192,4.748387208,5.256114,3.876018048,14.520336624,2.91193164,1.879727304,4.664692632,6.009471408,4.820625552,5.142001752,3.216493248,4.587590568,6.777828456,5.217600336,4.52527392,3.464007504,1.901808312,3.450414408,1.739290776,4.98170436,4.948098768,5.221490616,7.177343856,4.659997344,2.418542688
"10-Mar-00",2.94298608,3.429198504,2.065894416,3.52119576,2.163762504,3.56327892,4.297098744,7.368206256,4.783822416,5.53361964,3.314868096,4.117497672,1.663233336,1.958270616,1.54168332,2.27330928,5.587227336,4.852426896,3.711077208,3.361791024,3.469071144,6.653966904,3.835632912,4.7344848,4.042129752,3.37004184,4.344672552,3.09926676,3.853257528,1.43114268
