"date","Pixel16530450","Pixel16530451","Pixel16500451","Pixel16500452","Pixel16590455","Pixel16650456","Pixel16620456","Pixel16620454","Pixel16650457","Pixel16650458","Pixel16590458","Pixel16620458","Pixel16620457","Pixel16470451","Pixel16470450","Pixel16470452","Pixel16590456","Pixel16500453","Pixel16470453","Pixel16530454","Pixel16530453","Pixel16530452","Pixel16440451","Pixel16440450","Pixel16500454","Pixel16500450","Pixel16470449","Pixel16500449","Pixel16500448","Pixel16560456","Pixel16560457","Pixel16590457","Pixel16530449","Pixel16470448","Pixel16470447","Pixel16440449","Pixel16560455","Pixel16590454","Pixel16560454","Pixel16530455","Pixel16560453","Pixel16560452","Pixel16590453","Pixel16590452","Pixel16620453","Pixel16560451"
"01-Mar-00",55.694910048,59.629514688,59.930906304,64.08829308,64.561443336,45.534536352,51.100175856,56.069658288,45.873086928,42.01727772,59.873170848,48.082998264,48.114515304,58.174112328,56.272865304,64.39517784,61.354133616,68.554109568,67.876195896,67.969190592,66.938449848,63.071702952,54.468996048,54.501325608,70.343107224,56.842741008,54.297002784,54.660141,52.596078864,64.779035568,63.53697396,60.016519536,55.404092784,52.111679088,49.822254192,54.006128304,66.217517856,65.002035144,66.323141088,67.399509432,63.767417904,59.380147944,59.928663264,54.4999752,57.578144064,54.966653832
"02-Mar-00",1.032486864,0.444436944,0.220582344,0.648719376,4.010918856,5.629933488,4.914901968,1.988794512,6.28758072,6.271488192,6.51188064,5.936113008,5.833979856,0.14787504,0.225735888,0.292506816,6.19410468,0.513163848,0,1.93230396,1.945044816,1.822044432,0,0,0.662570136,0.174487296,0.109934136,0.106251768,0.209048712,7.080461736,8.952892536,7.284443376,1.5403272,0,0.164422224,0,4.065921672,2.694817368,2.530276896,2.810692368,1.923196968,1.27391196,2.40700848,1.93626612,2.308813152,0.400638888
"03-Mar-00",2.363887848,3.763726464,2.663867352,1.88331216,2.672997048,4.541385408,2.146101048,1.696486464,6.126716856,5.578382496,3.67732608,5.092139832,3.916161768,2.073683928,3.14496696,1.356686712,2.49364524,1.505180952,1.220425752,2.528670432,2.657447208,2.747282976,1.970564064,2.574999864,1.461829848,3.127118472,3.364394184,4.109909184,4.622326608,1.822003128,1.59272916,3.850070352,3.194956176,3.840471624,3.575296272,2.951518368,2.955805416,3.267097224,2.512782456,2.090096544,4.155918,3.969003792,3.408763656,2.410515192,2.204385816,4.54341924
"04-Mar-00",8.20368432,10.347928056,7.285403976,8.242079976,7.959254256,7.408390056,13.02576684,2.833934616,5.815658568,6.109982016,12.727988712,6.473911992,4.958505024,6.693524112,6.863717784,8.854305984,10.599164496,9.173899416,12.295247544,16.968665592,13.39481448,11.516169552,7.329166896,8.08316016,14.79712344,5.482732416,11.372458944,4.75130976,9.356893296,19.76138592,13.408298496,12.724023336,6.212650536,18.408186432,3.871654632,7.115836848,16.72983456,6.501064536,8.654890536,15.73805952,12.305199624,10.81949544,5.996587872,7.555116168,3.429442056,7.999764912
"05-Mar-00",29.4159336,27.451343544,26.653750416,25.18155384,26.59393788,27.455111496,24.832798008,31.157017704,25.31917476,24.244746216,20.520565512,21.924722664,23.521545408,26.521948824,28.876399032,23.537525664,21.4444356,22.24842168,21.160095696,21.990071304,23.42326356,26.123225208,26.081706048,27.597424512,19.524574752,28.769897472,29.471411712,29.793562896,30.281046864,17.572365768,17.250848304,18.742983336,32.211816792,28.351801872,31.738612176,28.911555288,19.980151176,30.19348812,28.026180264,20.327570904,26.51413536,26.50490856,30.960791592,28.119091992,27.588011736,28.506505968
"06-Mar-00",2.85696156,5.775360336,4.220683704,5.168706168,9.713155032,24.256098744,20.661488064,8.127397296,28.961671824,21.348123552,19.4459424,21.189930432,22.521732336,4.437554952,4.269428376,4.763689752,15.573114384,6.1656282,5.079606048,8.085141432,7.486911528,7.169781456,5.52584124,6.63899016,7.608000048,3.790945896,4.703613648,3.14833332,2.497366008,11.722975728,16.336810104,20.487550728,1.690995264,2.6578374,3.43477284,4.862439384,10.48201704,8.130720384,9.1086924,14.164385328,7.626144648,7.70108844,6.113493912,6.583356864,7.217434656,5.286048888
"07-Mar-00",2.100804624,2.802790224,1.87111884,1.58384424,6.154563912,8.037265056,6.9216528,4.908615936,9.309549816,12.042433272,12.34742976,9.238575696,9.24331212,0.786317208,1.545435552,0.39881832,10.266192912,0.81246204,0,2.416297848,2.787715488,3.183070776,0.014721672,0.014433144,1.07519844,1.60315848,1.461962352,1.856578584,1.719608736,10.38991356,11.739252096,12.261991032,1.839331632,2.082745848,2.108762928,1.461263904,5.83336044,3.316452744,3.129206664,10.698991296,3.875189424,4.009892832,3.96975624,3.956593392,4.498929264,3.924140088
"08-Mar-00",6.62534808,2.618508168,1.43645088,1.65176172,4.282315848,1.19515596,1.150964688,2.206429296,1.96460832,6.368367432,1.906314264,2.630010912,1.768204992,1.760173728,2.017699416,5.572144752,1.37823432,2.880396192,5.378613,3.021567816,3.206434248,3.25635588,3.1852752,2.57114964,2.549509056,1.461570912,1.369225416,1.356556008,1.35932448,1.7946276,1.658184888,1.182504504,6.757214064,4.232367408,3.791793096,2.60627676,1.600885752,2.050935936,1.848611352,3.125272032,2.016750984,1.998014856,2.109394488,1.386732456,1.699353048,1.388838168
"09-Mar-00",6.035668368,8.344032528,11.801240448,9.311526768,3.033897048,2.324807352,2.681429928,4.003529184,1.346182008,2.824416864,1.064840112,1.044384696,1.468453296,10.032782784,8.15263152,9.046796328,1.994913168,12.19231368,6.178175208,4.872030624,9.64948296,15.570290568,7.577944272,6.69283248,4.728917952,9.913065432,8.416864152,10.243630896,10.25026704,3.672886848,3.699841608,1.176622776,6.750552888,6.493005048,8.1441114,6.78209568,3.84857976,5.636390808,3.71911632,5.33958828,5.94302988,8.375566008,6.64463568,9.058681008,6.79037904,7.359616032
"10-Mar-00",0.49393464,0.590392728,0.830637216,0.702584568,1.6944294,1.416234528,1.703857728,2.352379392,0.602917368,0.479609328,0.588727392,0.872517312,1.0980378,1.768696728,1.931416872,1.64631396,1.123712088,0.67977708,1.658583456,1.501499184,0.592793352,0.563107344,2.663852688,2.220641784,1.6744566,1.031928144,2.02154124,1.242664296,1.188697008,1.03766172,0.640648392,0.71036724,0.952314288,1.696852512,1.6427316,2.283588936,1.628006112,1.576601928,1.295355504,1.468908912,0.758732016,0.555878472,0.88301664,0.630449832,2.145718392,0.563991624
