"date","Pixel15780518","Pixel15720516","Pixel15750517","Pixel15750516","Pixel15690516","Pixel15690517","Pixel15720518","Pixel15690518","Pixel15750518","Pixel15750515","Pixel15720515","Pixel15720517","Pixel15690515","Pixel15780517","Pixel15750519"
"01-Mar-00",13.393578528,9.467600592,10.84238076,11.072530032,8.462495328,8.299826136,10.012747776,10.237102032,11.283890256,8.88455844,7.741980312,9.427097088,7.460843328,12.61008168,11.732747544
"02-Mar-00",3.51421416,5.984089848,10.205517048,10.450186728,6.934164768,6.669942864,5.893936152,5.406747936,7.288158408,8.87695956,6.668613192,5.380983,7.498355616,3.392291664,5.028795
"03-Mar-00",1.463764344,0.400841064,3.027637128,5.131739256,0.772094424,0.57701088,1.10893848,1.352107104,0.811232064,0.249353712,0.439349136,0.665653968,0.448748592,1.647648624,1.225192488
"04-Mar-00",7.01893044,17.966510304,27.512446392,13.4718876,14.706740856,13.462373256,13.146158688,14.243569848,12.732477672,26.192968368,30.767100336,14.625123024,28.614020352,7.357134096,15.081723696
"05-Mar-00",8.698267224,11.461383096,9.886877784,12.501927864,15.243278496,11.204725752,9.056540976,9.03142476,8.963958264,18.23598576,20.809882176,8.839624632,22.084822656,10.893951408,7.19738388
"06-Mar-00",3.239119296,4.133308056,3.358975776,3.844168416,3.025333632,2.718683472,3.148289328,4.085008968,2.703573336,5.999762184,5.857285728,3.24587988,6.000818976,3.06898428,3.086896056
"07-Mar-00",1.748243448,1.64454228,1.73736816,1.657539552,2.386766376,1.279298904,2.310296952,2.154576648,2.2400304,1.589232264,1.345921752,1.84026576,1.367002128,1.695594552,2.5269606
"08-Mar-00",4.641772992,6.461121072,6.117930648,6.009088032,6.201698544,5.71502424,4.585522776,4.4625156,5.107102992,5.33935224,5.576182008,5.763148416,4.762985952,4.802676912,5.511934872
"09-Mar-00",1.095011376,1.791509088,2.224755216,6.898539312,0.843573504,1.03283868,0.522574512,0.744700944,0.225126888,4.97893488,1.539242328,1.71895944,0.68751384,2.245236576,0.231173904
"10-Mar-00",28.356139176,12.782694336,19.1224866,17.839045992,11.130520104,11.17506336,12.440587512,10.444400304,19.749569904,14.212172976,11.458585728,13.16121768,10.33795596,28.121838576,18.833733552
"11-Mar-00",2.702673912,3.214793088,2.097184368,2.335765776,3.772539504,4.172902464,3.652477392,4.380677112,2.216102064,3.021339288,3.486522672,3.275853384,4.483259088,1.846458264,2.380111104
"12-Mar-00",1.734958464,2.40977616,1.598166336,2.646437472,5.76265884,1.742269272,1.598069256,1.708107408,1.525629216,5.043012864,5.368528968,1.75633872,5.391702168,1.740830352,2.633182176
"13-Mar-00",11.069857128,12.182154168,9.572589408,13.957264416,8.43435072,8.00938368,9.488023992,9.114920856,7.7920332,13.138825896,16.216767312,7.971073872,8.32980036,16.090178496,9.755600448
"14-Mar-00",1.00576248,1.077362088,2.773352976,2.308431024,0.952701144,1.059022848,1.104759168,2.595388224,3.199841376,0.778975464,0.57134748,1.172993208,0.579477048,0.311877552,1.096945704
"15-Mar-00",8.656580688,9.781157256,8.808996672,9.806655408,9.53758836,9.376804584,8.158250568,9.11117292,8.04315876,11.060251224,9.291800016,9.052579176,9.57192564,10.27561284,4.836259608
"16-Mar-00",12.049740312,9.497199288,11.008147728,13.227702144,10.02683544,8.192810304,7.991234064,6.756792792,11.665155888,11.822326176,11.273254392,9.519573936,18.478324416,11.39697504,12.865326408
"17-Mar-00",4.495065096,9.783134232,7.335472584,4.665455472,4.674481272,5.27614368,6.813615552,5.131424544,5.040104616,4.78910136,4.241430048,6.57016968,3.924893256,6.72740292,7.102355712
"18-Mar-00",8.683967832,7.241524464,7.045540104,7.618449936,8.424507384,9.682473432,8.04505992,9.884124048,8.748200664,6.992541072,5.499502296,8.438012832,6.447235824,6.461995848,8.004285336
"19-Mar-00",1.46555748,0.940996704,3.435464496,1.944468312,0.078672816,0.449907624,0.447744456,0.448378656,2.722635624,3.942827592,0.144851016,0.689510784,0.143592072,1.176387984,3.760862592
"20-Mar-00",11.694509976,5.540065536,7.808589216,8.058616152,4.919022192,4.59641004,4.483460784,5.668073424,7.52590728,8.568524112,4.719808464,5.004242424,4.684176216,11.550541152,7.728961224
"21-Mar-00",10.307860848,4.397268168,5.400370368,5.65698696,2.430274848,1.526782224,1.18344132,0,3.259256952,9.398144952,3.90245784,2.71865112,3.290031552,12.912833688,3.638580672
"22-Mar-00",19.117785936,12.883522512,10.356847296,11.027996064,11.59844328,13.723165512,16.213421352,15.347226624,10.991822712,16.045224672,12.192373752,13.620009888,10.899684192,18.776461608,5.479251624
"23-Mar-00",12.709250448,5.973936792,9.663183696,9.45751404,6.669263352,4.092347496,8.408219568,5.913952944,10.062486648,9.780909072,9.60267948,7.71400524,8.98267008,9.697668312,11.660209176
"24-Mar-00",1.618018632,0.823166808,1.003293696,0.982427352,1.770378648,2.954649216,0.320026584,2.1828636,0.7279584,0.323041896,0.177595224,0.373787952,0.813516312,0.783647496,0.587231256
"25-Mar-00",2.456235768,4.529474616,3.430743096,5.852260704,2.595438312,1.198861056,2.04180228,1.146562272,3.784071576,5.594075928,4.69661772,2.263251912,3.620965008,3.979886064,0.679534248
"26-Mar-00",10.517975808,7.174221744,8.189654592,8.451785808,7.208496816,6.131373888,4.906341792,5.904018048,7.924021488,11.288522952,10.146145824,5.885089152,7.056356184,10.50674916,7.971351384
"27-Mar-00",0.27530964,0.350374608,0.169466016,0.136406208,0.365312808,0.155315664,0.198621624,0.12859872,0.18378084,0.201085104,0.110818776,0.1087512,0.215125656,0.246274656,0.143124576
"28-Mar-00",3.842239728,1.2284934,1.860625512,4.16919816,2.10590064,2.015344968,1.324061664,1.328046072,1.820863176,1.892325456,1.170942384,1.313617584,2.003119104,2.98546224,3.83736312
"29-Mar-00",2.820946104,6.458729976,4.996165032,5.079465144,5.460931416,4.805685648,2.170987656,5.306452992,3.590463648,5.193089256,6.420755616,4.881417984,5.108203416,4.52203452,3.02927364
"30-Mar-00",22.511421192,2.80960464,12.421558848,11.197634688,3.172277208,3.500780952,10.01891328,3.251238576,15.300357336,8.371866696,3.129710544,5.656935456,3.33570492,21.078274728,16.698639384
"31-Mar-00",1.558978032,1.482113784,2.86901844,1.35252876,1.436435856,1.884265608,2.134545912,1.976475288,3.146859888,2.462542176,3.456615336,2.085301464,2.314889064,1.553064816,3.845557104
"01-Apr-00",0.359106384,2.435813616,2.252817576,2.820358512,2.625733848,2.120698392,1.113912288,1.230917136,1.818956856,1.51909608,1.888413912,1.901778816,1.437936192,0.3766902,3.001495248
"02-Apr-00",4.531783824,6.3821454,5.056390296,6.91412688,6.870192288,5.397681,3.01045632,2.48508204,4.721301912,6.502972848,5.410730112,4.86036228,5.569886688,4.87973856,5.031919608
"03-Apr-00",14.3340726,15.0645318,17.201638704,13.438746936,13.52346468,17.19478656,21.731463432,19.784770488,21.717192648,9.533259624,10.232833392,19.577509392,9.673692216,13.506089688,20.957668296
"04-Apr-00",22.937803752,13.746057984,15.679884912,13.023520944,14.941298952,16.349919312,14.988754752,18.51725292,16.168832304,12.59964036,15.1800084,15.321084024,16.312035072,7.918154952,16.136871816
"05-Apr-00",23.062515744,5.60408448,7.582695,7.976754432,5.974366296,7.8625896,6.36465096,7.728127968,6.075174096,7.276451832,7.168505424,7.085607288,6.065100432,19.976490504,8.1960504
"06-Apr-00",4.925138712,7.7796414,8.810169696,9.79211568,8.475003,5.345756304,7.340364936,4.506709464,8.951826816,3.175636416,2.960641632,9.826047432,3.882602328,4.324015968,11.532767784
"07-Apr-00",1.143360336,1.845695088,1.316596632,2.828838408,6.467815152,2.635624224,1.739403792,3.527243256,0.986708616,3.391506312,6.076126824,2.355380952,6.607743504,1.431106128,3.569467656
"08-Apr-00",3.631971,5.825010888,5.45522904,6.205983648,4.874398824,3.984564552,3.600608112,3.649382472,4.596383928,7.67541648,8.067399504,5.849069592,12.174363624,2.857756008,5.023054728
"09-Apr-00",20.850286968,14.621313576,22.050541872,14.648272992,12.679271232,11.76636744,17.105619912,12.072258,23.322988992,10.219990248,13.219769952,13.036547184,10.907086368,20.631357192,14.556730272
"10-Apr-00",10.63300896,5.97034908,3.995277288,8.57694768,7.328486688,8.353458168,4.947387456,8.017822992,4.134483216,5.703799368,3.173058264,5.321035632,2.859812568,5.69344104,5.556134472
"11-Apr-00",10.67376996,11.237450112,11.462604048,11.689945224,10.156708008,7.7142198,6.772328136,9.964357848,9.263942952,16.75626612,19.383862488,9.53923488,15.539780616,10.321193208,9.038126712
"12-Apr-00",8.707682856,11.843590728,11.748395928,11.623436448,10.211902848,6.699826944,9.016224144,4.7009064,9.858975648,16.678426272,14.104160784,7.293371904,16.441124448,9.703137168,9.760447752
"13-Apr-00",5.229277608,6.143598312,8.656483416,6.305942784,6.527302272,7.945258152,6.137779008,8.225590464,5.883235584,5.87120748,5.980440624,6.886594536,5.188051344,8.5031898,4.748826744
"14-Apr-00",0.870923808,3.760775688,1.10348304,3.731501688,3.323731536,1.98972792,2.255296296,2.20637172,0.382382424,3.637207392,1.922828616,2.060416632,3.26055156,18.27092028,2.285292504
"15-Apr-00",29.381621352,20.271354672,20.595209592,19.072919376,21.94012356,22.790546904,23.42357112,25.225459104,21.60951804,20.94493104,23.350347528,21.620438568,20.795491224,28.659642216,25.323277464
"16-Apr-00",0.129124848,0.39544464,0.26033832,2.34896028,0.220273656,0.195359184,0.119045088,0,0.164731296,0.842943456,0.594600192,0.104138904,0.3718458,0.979374744,0.197621352
"17-Apr-00",10.41603684,3.724680672,3.894989136,9.80649876,3.984238752,2.213494608,2.323149384,2.904370128,3.76747764,16.000833024,6.880377528,1.954805904,3.667933344,7.260605328,5.734113696
"18-Apr-00",13.253399856,9.820906872,10.100451,10.07342004,10.616133216,10.742920152,10.19946312,10.908727176,11.903730864,8.259374136,9.431289912,10.057123656,9.43160748,15.381039624,9.07743
"19-Apr-00",8.953898904,6.834599736,6.448104144,7.257274392,5.585981016,5.257293456,4.448786616,4.935305712,5.296411512,16.80440568,13.281379224,4.713359712,8.072535744,9.72365928,6.665835144
"20-Apr-00",7.305579912,6.028799784,5.984571216,5.903106816,7.776386256,6.759304752,7.508272656,7.125114432,6.93985104,6.282254928,7.337495328,7.28167104,9.894519576,6.236324064,7.149565464
"21-Apr-00",6.444360504,1.703895624,2.325962664,1.9450584,2.46925896,8.798573976,2.287510344,2.7346242,2.175510216,1.120615032,1.066326048,2.428353672,1.329686712,2.812218192,1.995753408
"22-Apr-00",13.764295584,10.533066264,10.938513984,9.200546976,8.774288904,12.102383136,10.651863096,12.905811312,12.718721856,6.942190656,6.2915604,9.428451768,6.308058504,13.021874424,11.641725552
"23-Apr-00",9.41040372,4.895831832,6.150288816,5.318432088,5.205865152,6.815463072,17.4861846,7.291726824,5.93624568,4.513836264,4.571211216,5.804860344,4.63512504,9.368707896,6.682273152
"24-Apr-00",6.668329944,4.563995712,5.993733648,6.601515768,4.406245344,1.912429872,2.476810824,1.37672808,3.363626352,7.33819128,5.416144968,3.453128808,5.162541024,10.139513976,3.132883776
"25-Apr-00",15.044354448,13.94088792,13.056828984,12.521193984,15.400232784,17.000648976,17.21218728,17.55961848,15.384223944,11.59704924,11.200758216,15.719033712,13.452160824,10.12563444,15.628373616
"26-Apr-00",2.054659896,1.108989816,0.973257504,0.8719098,1.412289792,0.430669392,1.15556736,0.673656552,1.146847392,0.76092,1.54098576,0.31065456,1.234019184,0.838199448,1.050520152
"27-Apr-00",8.5097022,5.392974984,7.483793736,6.927283992,4.6419636,6.235719672,6.033833736,6.269783016,7.208813664,5.900361288,4.0692426,6.940761576,4.173472176,8.352242952,7.483089216
"28-Apr-00",0,0.31945596,0,0.026021928,0.494262768,0.36554628,0.177380064,0.283455288,0.037522488,0.372968832,0.801940176,0.194112456,1.551682416,0,0.034377768
"29-Apr-00",10.699416168,13.051148424,15.990095616,15.499900824,8.35296036,6.646088352,7.023388632,6.28262328,9.684378864,7.117670064,9.589198344,10.854331968,9.139439112,11.840923536,6.133561128
"30-Apr-00",8.830511568,5.46253824,5.091794016,5.203483344,6.688754808,7.417292832,7.74213696,8.043254616,6.765115488,19.434302328,7.410922776,7.244834664,6.71682144,6.96715236,8.224198584
"01-May-00",8.590377336,6.117653136,12.640977864,8.072309736,5.159545176,5.169227592,7.919981712,6.421544544,14.118704784,11.874972576,4.253788224,6.325758216,5.043732408,9.45467304,26.776393896
"02-May-00",7.997829432,7.919556864,8.489931816,12.00280236,12.268356792,8.74024416,5.89302492,6.720339768,7.675491576,12.760943424,7.480826856,9.602034336,8.972961912,7.456190592,7.488676776
"03-May-00",6.101065632,5.904107808,6.024773592,4.979673744,8.408801784,6.867604488,5.618221512,9.479073288,6.427055592,4.154554728,5.993158944,4.339915032,5.233178256,5.553691152,7.69462896
"04-May-00",1.005860112,1.519319592,2.64798672,1.42699332,1.73322684,1.63447344,1.26841932,1.122426432,3.750108,13.341526512,2.169980232,1.382668296,2.423691816,0.822482664,1.447307736
