"date","Pixel15900484","Pixel15900483","Pixel15900482","Pixel16020484","Pixel15990484","Pixel16050482","Pixel16020481","Pixel16020483","Pixel15930484","Pixel15960484","Pixel15930483","Pixel15960483","Pixel15990483","Pixel15990482","Pixel16020482","Pixel15930482","Pixel15960482"
"01-Mar-00",1.055816616,0.223254192,0.377288016,0,0.1655754,2.171650536,0.64615824,0.181120296,0.641765448,0.583080456,0.349021704,0.749543976,0.300913584,0.257459712,0.510229608,0,0.285497304
"02-Mar-00",3.055283544,3.890020248,2.339772816,6.075852144,6.104347224,4.017188784,4.78830492,4.958325144,4.219840776,4.4148252,4.226462256,4.70262588,5.29810344,5.5426848,4.7648946,5.19784068,5.428499928
"03-Mar-00",13.669600008,16.727346888,15.573736656,20.903673648,21.040266048,13.522263048,7.053111792,7.986789456,16.052757744,15.669685368,12.067135344,10.880053992,8.263703592,8.07583164,7.842917928,10.765267608,10.097431176
"04-Mar-00",23.11192416,29.374643328,15.390375144,13.22605848,14.15727996,10.8897822,20.245253568,15.450787056,17.9042058,15.38772012,18.664631376,16.017255312,15.090704448,15.118635168,15.017540928,31.285062792,30.947625168
"05-Mar-00",12.071970456,11.871688128,12.859136592,11.811208968,8.832877632,10.917928224,9.948779592,9.09155988,11.29079532,8.889382848,10.519035816,7.883524416,7.225944768,8.055054192,8.749841448,10.859662056,7.602635616
"06-Mar-00",2.230797168,2.609443896,2.702653536,0.711782544,0.958833048,1.753854624,4.832583552,1.407975816,1.121598336,0.659257608,1.749159336,1.282953768,1.642987128,2.356988304,2.65934496,1.816896744,2.202009024
"07-Mar-00",12.587579736,11.319848304,11.738624808,14.825839512,16.135411272,12.611447808,12.884652624,14.931278232,14.059653288,15.6496482,13.307102688,14.486874096,15.153748512,12.70207644,13.792366512,12.63853884,13.094608776
"08-Mar-00",19.39027548,12.421255584,13.805309784,10.502198688,9.645035496,12.526727208,9.659581656,11.623493664,10.063726896,7.606427184,8.97007728,9.551561592,10.267426008,10.388390064,9.221708544,9.08352828,8.660789976
"09-Mar-00",10.14307452,10.983860496,8.144180784,4.808174736,4.53891348,6.642582168,8.249869824,5.442212112,4.52114904,21.783980376,13.856770992,10.519982808,4.07881236,4.682805768,8.078392272,7.929253584,11.321901792
"10-Mar-00",4.488597744,3.681583992,3.761852856,8.285040384,5.109467976,8.133894672,6.63635088,7.979711304,7.813583136,8.443841448,6.130521288,7.32690168,5.749338264,5.861572992,5.85136056,5.213079936,6.30299448
"11-Mar-00",0.064203696,0.318690912,0.405895344,0.140660952,0.490901952,0.24333588,0.201814968,0.189354816,0.014311368,0.175452792,0,0.011674392,0.137480736,0.100324992,0.185713224,0,0.015680616
"12-Mar-00",1.439318064,3.4841634,3.75940632,1.076642712,2.606362584,3.041361096,1.587433752,1.590017448,2.4374274,3.647598264,4.113468288,1.89370644,1.375264056,1.7192232,1.286136288,3.966828696,0.938387544
"13-Mar-00",7.857087144,6.07126164,5.846794728,17.620252128,16.171517376,12.589648248,7.10882664,14.231743824,10.487706192,11.468753088,8.242018464,11.468366856,12.757840632,9.957754608,12.015362256,7.648233168,10.289237016
"14-Mar-00",3.613105056,4.733487,4.662811512,9.982043976,4.061489232,5.580304752,5.235625872,5.908156512,3.621355536,4.026159168,13.5834918,4.021072992,4.151599296,8.538461208,5.842861896,4.18558968,14.533850664
"15-Mar-00",10.18010544,11.596381176,10.67744208,8.290259592,8.048259984,10.964212416,9.908200968,6.612856152,9.407810928,7.395870912,8.629694232,7.864375584,7.790609112,17.842854024,11.70375396,12.628935816,5.738844048
"16-Mar-00",0.96026292,1.05471084,1.105043112,3.58400988,4.257362016,2.872355808,3.352103952,3.655789368,1.4683098,3.373286616,2.117261232,3.470374704,3.811216584,3.219609984,3.03428472,1.792654224,3.972748152
"17-Mar-00",3.497012256,3.674552328,3.012532704,3.887401704,3.327720528,5.377221096,4.923371664,3.15482784,4.454584488,3.793265808,4.063151112,3.693306336,3.526761168,4.519968864,4.668825384,3.634116408,3.265887384
"18-Mar-00",15.997087944,15.3366108,15.181706424,22.460463528,22.789358136,22.837838184,19.294013496,22.329823488,20.510021208,22.696523664,19.971423624,22.0082016,22.209394464,21.474626544,21.693039888,19.096203816,21.559347144
"19-Mar-00",1.648907304,0.698440608,5.328569064,0.199296696,0.248142,0.478346808,0.058897272,0.073190664,0.4293678,0.124739568,0.253056792,0.149488512,0.152218632,0.111967104,0.212287224,0.132350712,0.135318624
"20-Mar-00",9.096901416,11.880844128,6.78113436,4.716202488,4.861553544,4.559337264,6.696132648,8.203149312,6.742012728,8.23735284,4.836969144,4.332178464,4.148003328,3.281133408,8.537233824,3.997126224,4.374902496
"21-Mar-00",5.84761584,5.570916288,4.77086376,8.257568832,7.924838304,7.748283144,7.05981804,8.91111732,7.745507952,8.232981912,7.179535392,8.104822392,8.278374192,7.92346788,7.915987008,6.257273904,7.424808744
"22-Mar-00",1.574467248,2.537532816,2.764333608,0.683726544,0.6844224,0.966765312,1.049625096,1.072936272,0.828798744,0.85836204,0.769807848,0.801128904,0.569719512,0.735557328,0.829333656,1.697317416,1.076419032
"23-Mar-00",13.258093368,13.953723912,12.566289432,9.589607472,10.469757552,9.658702608,14.020789152,10.08816432,12.871710768,11.08274604,13.727199552,13.368098256,10.225573536,12.699123864,10.002656232,13.675642488,13.414306632
"24-Mar-00",6.638040312,3.524756304,4.247350584,16.97327328,12.051939,11.529269448,3.762798072,12.300506112,5.96540988,9.035764944,4.509195696,6.224576712,9.835568184,5.942147256,17.108635416,3.623220552,5.323319088
"25-Mar-00",17.873894688,16.837579248,18.335012904,17.62516452,16.91849184,19.774695408,20.9133954,17.627104272,15.746768472,15.168850416,15.265464312,16.234198104,16.968346584,17.833931928,17.584157472,18.22207404,18.090743064
"26-Mar-00",0.10094556,0.452061288,0.449094912,0,0,0,0.014360328,0,0.02221692,0,0.184161432,0,0,0,0,0.124698264,0
"27-Mar-00",6.710865504,2.676881784,3.9070326,10.818926808,4.424133888,4.2211572,2.819381832,11.423233512,2.251458576,4.386961704,2.306586552,2.474255208,30.132748608,4.089743976,7.127741568,2.227954752,4.171739448
"28-Mar-00",38.878466616,43.60311984,27.621754656,14.342206488,25.214055072,12.619511616,14.31567192,16.19128848,31.989237792,28.46649456,29.59978008,22.071899424,16.896018504,15.798331272,14.653510104,18.60805464,17.158368576
"29-Mar-00",11.128701216,11.658835896,13.064387808,7.16344572,5.651965848,10.868295192,11.976531024,6.442323456,7.65517044,4.640529864,7.091545344,7.66765236,6.84038616,8.699857944,7.715992224,9.094680552,8.372493264
"30-Mar-00",6.743622768,6.844158408,4.299100032,12.549360744,7.597491504,16.1392908,16.170377256,9.479609016,8.64345504,11.802576552,9.015031104,9.025630464,10.306400304,8.355018144,9.983357904,15.987421992,10.1227398
"31-Mar-00",0,0,5.671569936,0.183180384,1.591271472,0.235518264,0.15296568,0.28680804,0.139205472,1.29668928,0.253333968,0.289435008,1.401410856,0.293878512,0.192586656,0.417155688,0.307369392
"01-Apr-00",2.929183608,2.573739408,1.396587528,1.596043104,1.384305048,2.70677196,3.918498528,2.849341392,2.258552496,2.186351904,1.50149436,1.387346424,1.219152504,1.4649918,1.417612104,0.99805284,1.290912072
"02-Apr-00",22.370924952,19.229265696,21.615720744,8.936822184,9.931109904,10.808010576,11.787574056,9.464486352,15.673626432,10.539021504,16.046061504,10.31881356,8.399935488,7.82115912,10.237787256,18.037550928,10.145941248
"03-Apr-00",11.808027504,15.593449104,13.273678776,20.601555336,20.10845232,18.301739208,18.682361136,19.87928868,17.287260528,19.411671648,14.834002008,18.93672036,20.801962848,21.834729192,18.62014104,16.386410232,20.579147808
"04-Apr-00",3.199352496,2.725135632,2.82322992,0.16241892,0.383491824,0,0,0.169369128,2.109446352,0.689239752,1.637210904,0.88911144,0.357072912,0.441107568,0.446022528,2.109845448,1.533746112
"05-Apr-00",8.172642936,8.055403224,7.932164664,6.433079472,9.275163168,6.432727584,11.873625744,7.417885056,14.556572904,10.896525624,14.457917688,8.239504344,8.8350234,7.283225304,11.496005064,10.486026768,12.333638184
"06-Apr-00",24.4085226,22.786617288,22.566610344,22.483709328,21.615114216,19.787524224,24.208459848,21.43730736,21.15728616,21.043732176,20.015766624,21.412735464,21.590003016,19.687621584,22.166124336,20.012997144,20.304405216
"07-Apr-00",2.650239768,2.65913736,2.6977458,1.196284344,0.911929776,5.977752336,4.861747392,2.675243496,3.032820576,1.865821128,11.769192696,1.238761344,1.162988928,0.677678616,1.353033096,2.357695872,1.354239456
"08-Apr-00",2.880020856,3.859719168,2.044690488,4.548239352,2.649330864,2.736747792,2.157895272,4.197447888,1.783770192,2.167797264,3.63898908,2.737855728,2.929692336,3.13378464,1.96799772,0.710942664,2.72518284
"09-Apr-00",5.439705144,5.997296328,6.281330832,0.515780472,0.295410144,0.519912456,0.886154376,0.689603232,2.510782248,0.544021104,2.866890024,0.151902816,0.36116952,0.46604004,0.54291876,4.062031392,0.69194268
"10-Apr-00",1.550215968,0.91778004,0.687847224,0.394324608,0.138403704,0.534998112,0.178494936,0.243394968,0.340503384,0.150537048,0.056713344,0.079200048,0.058172808,0.063744576,0.26962008,0,0.082129896
"11-Apr-00",19.090855128,19.491861816,20.069857128,10.545978792,12.27365256,13.78396368,15.558677664,12.003273,17.562284952,15.412168968,18.707234856,16.982882016,13.600420464,14.938334952,13.084151736,20.380552776,15.974873544
"12-Apr-00",7.508416416,5.138545632,4.711935288,9.391490232,9.307162992,9.274404288,8.724856848,9.826257,6.322802784,7.348341456,6.062130696,7.563310872,8.427805416,8.42058492,9.87338376,4.751118432,7.11566448
"13-Apr-00",14.18982696,7.19418312,6.34663224,2.35393488,2.67802512,1.664607336,1.921392024,1.513546056,3.265968192,2.814404016,4.508476848,2.74722468,2.670883656,2.502581472,2.019068064,5.041318416,3.02878512
"14-Apr-00",0.053208672,0.058789752,0.299350248,0,0,0,0,0,0.051657792,0,0.085223568,0.069830496,0,0,0,0.160948896,0.093965808
"15-Apr-00",13.605247032,12.348285192,11.760771264,17.490933888,17.22586584,16.803518784,17.409996984,17.30801868,14.759499552,15.869377608,13.597353456,14.52164412,16.825643064,16.450625904,17.190218928,11.343651288,14.478471288
"16-Apr-00",9.689453592,9.307529208,7.367940912,7.505634072,6.782548416,8.016093504,5.515758264,7.213546512,8.509099248,6.465518472,7.598667384,8.336940048,7.675550928,6.930369624,7.11291432,9.092159976,8.660191296
"17-Apr-00",0.264458496,1.198110144,6.437389608,4.799128176,2.944148184,4.339378248,5.913689376,4.756408104,1.179237312,2.416318776,2.740290288,3.315681336,3.799901256,4.660703304,4.666941408,5.3385744,4.846256376
"18-Apr-00",0.353546256,0,0,0.343941696,0.227061552,0,0,0,0.045055128,0.219702024,0,0,0,0,0,0,0
"19-Apr-00",11.03789448,7.908482544,12.181932456,4.674354312,4.352706672,11.237577432,12.25870656,12.942448128,7.351401336,4.600092528,8.405923608,7.46014524,8.124559176,9.807681792,18.70439244,7.943392032,5.213373192
"20-Apr-00",11.069961552,11.601545328,12.45637464,13.975746624,23.760020256,13.517714016,13.134696,13.354379664,13.527707568,15.154928688,19.161968712,15.467368128,14.140017984,13.12901688,12.447768696,15.674273016,14.507456304
"21-Apr-00",0.17788884,0.097826088,0,0,0,0,0.734724552,0.12390948,0.26973432,0.198350592,0.0870438,0.175303632,0.251837112,0.293630136,0.328110504,0,0.196875216
"22-Apr-00",1.499599368,2.540440848,0.794531376,3.303633936,2.917770624,1.950041592,1.04738232,3.101432928,1.133599248,2.000559024,3.311820384,0.388499688,2.19340932,2.035044384,2.762702832,0.347590104,0.388873224
"23-Apr-00",5.408523552,3.770229216,4.90906548,4.805923104,4.657694568,5.043090456,11.70650196,9.750484224,7.125014304,6.319196472,5.684994936,7.602529056,10.654134744,11.72401572,9.415791744,12.1312008,12.239363184
"24-Apr-00",3.400303968,3.508092648,2.992677936,4.36398948,4.434307344,4.560560352,1.429494744,2.812023648,3.215735088,3.84769212,3.517319088,4.026320808,1.540499568,1.059642168,2.643981456,1.553340192,1.722218328
"25-Apr-00",0.522448104,0.020680416,0,1.43354988,0.124191792,3.95090712,3.327272064,1.547453472,0.272194296,0.078374064,0.04081632,0.052867104,0.947761512,1.420535352,2.319144312,0,0.5955462
"26-Apr-00",5.960299008,4.392720936,3.158670552,5.224513296,2.328912552,11.363349432,3.213166584,2.266384008,1.740511536,1.042244832,2.654412024,5.255467056,4.003325352,5.246756304,7.364320992,2.302909248,5.180197488
"27-Apr-00",7.962813384,7.540366176,8.89887,10.212206832,10.304871072,8.075753688,6.555398952,9.087620976,10.32244992,10.345664976,9.906731832,9.448051224,9.300781488,7.69951344,8.108392944,9.338454,10.22419668
"28-Apr-00",5.169585216,4.634540328,7.567492248,6.492271176,5.852061864,4.224404448,3.35643768,3.935586696,3.57970476,4.056801072,3.350042928,3.199286688,6.794044728,3.978233448,3.401633616,3.213092928,3.11271108
"29-Apr-00",7.949697744,9.542180304,15.256290432,10.332409848,12.9062376,20.62754916,21.44803476,12.68226672,11.572887888,10.72429776,13.305772296,12.128055096,12.04908228,10.34745168,12.226914888,14.639060496,12.009122376
"30-Apr-00",3.078966744,3.232465632,3.262063272,2.436320904,0.67767816,3.810851448,3.146095632,0.695566632,1.200577584,0.927434016,1.516825128,1.029074472,0.938520216,2.297253192,0.753773064,1.837263648,2.023374624
"01-May-00",6.221163504,4.2390114,4.210285296,8.177476656,2.604862512,10.61842848,15.534772392,3.484207032,21.113963136,19.691203584,7.230035304,6.207402696,4.13507688,16.77283716,16.794429312,8.499567744,11.4929688
"02-May-00",25.22535324,3.632028936,1.925724336,10.253365512,5.428189872,39.520503048,1.84794528,1.81876284,8.956893672,1.693763856,5.757924552,6.353575944,2.068774056,1.867639848,1.814231688,1.811640312,1.71348024
"03-May-00",1.046487,0.264789768,0.41119032,0.013541832,0,0.082705728,0.10738872,0.014899128,0.06749412,0.010203408,0,0,0,0.010433592,0.087729768,0,0
"04-May-00",2.068657992,4.749653232,5.002136712,3.32448936,2.7278316,8.13924264,4.242981072,4.17133104,4.95914232,6.074833632,5.056526904,6.719774712,7.372500648,2.147504736,6.029504304,5.782857648,7.18081212
"05-May-00",3.945050592,4.121232384,9.15055776,2.952546888,3.751004568,3.433354488,3.08262204,2.814614832,3.713085288,5.67594408,5.46490716,4.547518008,4.085159904,3.684938904,2.849962776,5.734663728,5.441309088
"06-May-00",5.209739688,4.359232656,3.107993952,3.660075552,3.254942544,3.567569736,4.057434432,3.448042272,3.848390232,3.326563248,3.723561648,3.020400168,3.284328096,3.016858224,3.37937772,3.536931048,2.669891592
"07-May-00",0.236443488,0.175019616,0.2245554,0.405031848,0.318748128,0.281511048,0.31526736,0.520366128,0.111657024,0.17459268,0.288724848,0.117701136,0.527577672,0.324469368,0.411171816,0.399871176,0.140243376
"08-May-00",6.774847272,7.12076496,7.219566816,5.443305024,6.982378728,3.541417128,2.40598332,4.3467654,6.05311704,4.877770536,6.025136232,4.17771936,4.352092632,3.5479542,3.111544488,5.381039856,3.653473008
"09-May-00",0.068076816,0.38897856,0.5279346,0.89273268,0.337733736,1.148701344,1.69670124,0.725122416,0.057147816,0.101632896,0.264806928,0.312391488,0.236816448,0.334211904,0.964170912,0.790218288,0.900576792
"10-May-00",4.760537976,2.175873936,2.73501312,8.875499016,7.497071016,7.430462112,7.536687624,8.183219424,6.580044504,3.550983312,4.175485248,5.456325528,7.218494664,7.785015816,9.592590816,4.75427448,6.85462116
"11-May-00",12.76396608,13.514197824,9.02995848,14.214750768,12.894887928,12.137899872,11.999895576,15.109252464,17.348113056,13.5770874,11.817660576,12.7407174,12.313193328,14.062478544,13.710053448,13.227712152,13.778625
"12-May-00",1.052399136,1.145472312,1.169218368,1.758184608,1.701071808,2.64860184,3.008614896,2.646454632,1.846584144,1.5565356,2.013509448,1.689002208,2.638301256,2.597767704,3.159605376,2.17533768,2.447262696
"13-May-00",11.312716488,10.252955664,10.556323536,5.182185168,6.360331536,3.760824312,4.897675752,5.349982728,17.50498152,15.869792472,9.306774624,8.047261488,5.262015936,5.426552304,4.27814376,8.977299936,6.855752712
