"date","Pixel15660526","Pixel15630526","Pixel15660525","Pixel15570524","Pixel15600525","Pixel15630524","Pixel15570525","Pixel15510524","Pixel15690524","Pixel15660524","Pixel15630527","Pixel15600527","Pixel15540530","Pixel15510530","Pixel15570529","Pixel15540529","Pixel15510526","Pixel15540526","Pixel15570527","Pixel15540528","Pixel15570528","Pixel15510528","Pixel15510525","Pixel15540525","Pixel15510527","Pixel15540527","Pixel15570526","Pixel15630528","Pixel15660528","Pixel15630529","Pixel15660527","Pixel15600526","Pixel15600528","Pixel15600529","Pixel15480527","Pixel15480528","Pixel15510529"
"01-Mar-00",11.45401884,9.861783744,11.278684608,4.10828376,7.121204136,12.936245448,3.767618544,3.111729744,10.877187264,10.63224792,11.113760952,8.120867016,4.503385296,4.262138136,4.41583944,4.16500068,2.49779712,2.481394704,4.128414984,3.874357224,4.317563304,2.352005304,2.905830504,3.651176688,2.345269032,3.856860984,4.100463504,10.90711356,14.12960244,12.364678848,14.31724692,7.972575192,7.771350144,8.018215656,3.070264584,2.787197472,3.508517136
"02-Mar-00",6.442851312,7.178107032,3.538411968,4.170877584,2.965865856,3.953971632,3.811153296,1.27699704,5.669365176,6.749495736,8.190346248,6.38489772,3.796701552,3.566217552,3.085077528,2.477152704,6.947333328,3.090497736,1.891313376,2.959961952,2.38298928,3.181465392,9.815930832,3.900859584,4.069215048,3.081409704,2.416705896,3.674683224,1.919836704,2.696004696,3.334897032,3.140241984,8.225030424,2.628186816,8.278734672,7.323574296,3.043991448
"03-Mar-00",0.636009288,5.750041008,1.350314328,2.07651312,1.307712264,1.344381984,2.392186584,3.294785496,0.551842104,0.541649304,2.365367352,1.937919624,6.319417488,6.368448984,3.38603604,4.28811444,1.943290104,1.673275896,2.210189232,3.700432416,2.663866272,3.57181584,2.534069184,2.655733104,3.112477896,4.311137088,4.474175328,4.058699736,1.682293824,1.974616704,0.521603784,1.690881024,2.462922504,2.694938064,4.565824632,5.296036368,6.414846192
"04-Mar-00",12.7003398,10.964838984,9.986719608,6.108757488,7.557908544,7.794079536,15.976256856,3.843366264,8.68906044,9.587916624,7.01558376,9.157929888,2.142585576,4.527757992,1.92157476,1.225294152,5.880014064,4.332439176,8.133429768,5.160997152,4.72129404,4.552507272,3.950863128,2.672630136,4.127941848,2.694957384,9.387938976,4.457381136,9.819464208,7.451650152,9.8187096,14.343468192,3.573779952,3.515200848,1.863258888,5.393358696,2.02963596
"05-Mar-00",8.74916052,11.230330464,6.635330904,10.299358608,10.98758268,7.475822208,11.73857976,11.905260096,5.255164872,6.020477064,14.177953728,14.70194148,20.51180076,21.693019872,17.264933112,22.872602472,15.877211088,15.46384764,13.41451836,13.711685664,16.504111296,18.035828592,12.40481472,12.326881896,18.068537232,15.498119832,14.614779,14.033998488,11.148178344,13.31961108,10.21961904,12.770969856,18.288572784,20.015736576,17.351164344,16.969696992,25.108168608
"06-Mar-00",2.061631848,2.536189368,2.07608664,3.369993576,3.407108904,2.172423552,3.232424856,3.282580728,2.155168344,2.17664928,2.413649448,3.368239752,4.590108624,4.76417328,4.165385496,4.1776278,3.242801064,3.26534808,3.468824736,4.07144772,3.918388008,4.026611928,3.475086456,3.494200584,3.83917452,3.85670436,3.268048176,2.635460256,1.68973464,2.838385632,1.417762656,3.557515752,3.484676952,3.759618768,4.138520832,4.007545344,3.941502216
"07-Mar-00",4.516698,3.383751504,3.681819672,2.683281,2.464949544,3.951181776,3.363245496,5.224844448,3.681056856,3.158052552,4.051889784,2.869314192,1.690459896,1.920349008,2.50478268,2.140769544,4.133044128,3.08025492,3.324460032,2.850414288,3.52418376,3.12930144,4.369811304,3.62858748,3.313878888,3.269569872,2.636295864,3.966280104,4.017133344,2.876647536,4.998374112,2.568033816,3.268308528,2.65591032,4.020277608,3.662644392,2.60506188
"08-Mar-00",5.038340088,5.63411952,4.86038232,4.0798248,4.729789848,3.316009992,4.825088736,4.244723088,4.25395704,4.749498,6.491696112,8.360616456,8.06333112,7.096037856,7.440565104,7.666565904,7.299071064,6.276976344,7.59315132,6.91960788,6.84782196,6.126103152,5.81874204,4.962649224,6.636267912,7.104002952,7.18204164,5.851808664,4.700066688,5.84419656,4.744048488,7.384077072,7.781727072,7.794814824,7.351018656,5.579884536,5.93637336
"09-Mar-00",0.211246848,0.097179336,0.581994216,0.020446104,0.06376092,1.109223168,0.023291664,0.015213336,0.064996608,0.408386616,0,0,0.718838544,1.322053944,0.102753888,0.31392024,0.68823816,0,0,0.138890928,0.05217468,0.702381624,0.820245888,0.023153112,0.918737592,0.425457984,0,0.086806752,0.053440056,0.789027672,0.267500448,0,2.07406032,0.942732624,0.127720968,0.281683776,1.030855368
"10-Mar-00",25.280030256,25.581624984,18.687924384,13.777698048,17.672342784,17.81599332,15.87618972,13.420859808,15.223524576,15.916000848,27.173632632,23.309313288,19.730664264,19.878750792,21.90670968,20.216883648,19.73477412,19.711611264,21.968550672,20.093553552,21.215726856,20.420325288,15.364514352,15.501445776,20.931431304,21.196848384,19.874115936,27.661837584,30.293566704,28.016581536,29.289593688,22.311205392,23.239202496,22.60896348,19.667557248,18.747254856,19.133535864
"11-Mar-00",2.424977832,1.88964576,2.553778224,0,0.201528912,13.318043232,0.046090008,0.020456208,2.930412048,2.88462264,2.283038904,1.35894852,1.143362664,1.16265732,0.536593896,0.807224136,0.151154136,0.520967376,0.491207208,0.593870256,2.386268016,0.789418896,0.111881232,0.329548704,0.152703432,0.6349842,0.397351776,1.748824608,1.865265912,1.502884272,2.082961488,0.712867224,1.20804288,0.92575104,0.329221704,1.895462568,0.934801704
"12-Mar-00",2.903171184,7.825486416,5.787745008,2.26657944,6.4526832,1.941573672,7.22126556,2.251463952,1.90026552,1.476459672,3.843313704,6.870557064,6.814645536,4.352521056,6.91481496,4.825895184,2.658294792,4.241595624,7.92913056,4.745895984,4.643239608,3.765224208,4.146172296,4.69775784,3.736456992,3.814236768,7.442944056,1.870135008,1.896581232,1.95331692,1.895739384,6.529813536,5.256191976,5.27741004,3.286403064,3.265755768,4.534199952
"13-Mar-00",10.46725416,9.549970152,12.547366608,8.87578512,27.344040864,10.315209384,9.298929696,9.302282088,11.540014752,10.209428064,9.943274256,8.482453104,7.420023672,8.05473876,8.17108512,9.014972448,12.162434568,7.676841984,14.157827856,8.006636376,9.232411632,9.936276192,11.441309448,10.48465848,13.4236536,13.986120696,7.496041776,8.736638544,11.276221272,10.278784992,10.876353264,10.598132376,9.984307056,8.717581272,9.139244568,9.20186376,9.569024568
"14-Mar-00",4.82937276,4.312424904,2.241103104,1.292557872,1.674023328,1.546247712,1.467995088,1.563350736,1.68398292,1.476781272,6.014106264,4.11707712,5.321979768,4.95143616,5.296426896,3.467633136,1.673564496,1.46602956,2.949229368,3.321018576,3.219986568,2.741070264,1.04140752,0.865750824,1.93250424,2.638346496,2.223606888,7.476141216,4.786616208,4.85334384,6.625034808,2.529220824,4.78808964,4.98895848,8.563331376,7.014493704,2.909033064
"15-Mar-00",12.512702472,10.418214072,8.510903832,5.571671616,5.717380632,6.464614392,6.037409304,3.583334328,7.93356156,7.131274944,14.054132928,11.434364328,13.63688136,10.666884888,11.701385736,11.58188724,7.500065088,7.500153768,7.477775568,9.270405288,8.181311856,10.97611356,6.849056472,7.847750904,9.664176456,8.470898856,6.279378168,14.441542632,16.24107312,21.905689728,15.211855896,8.088502416,10.343862528,13.82870436,6.375285384,8.45011068,11.304319392
"16-Mar-00",11.83873128,4.611319176,10.288214928,4.864769688,5.473891848,4.212752592,5.282069208,10.920901536,13.359074592,6.936762576,7.440610896,7.818738696,6.396069288,5.805989736,3.930077784,4.585274568,5.676142224,3.66594708,4.294864296,3.731838576,4.685501208,5.020959384,11.1837666,2.467049544,3.253193736,4.2206322,3.898599024,6.190743696,7.83707928,4.984478832,10.781172048,4.092482328,5.754801744,4.197381384,5.679905544,4.837719792,4.271210424
"17-Mar-00",11.634953496,13.745743272,9.974420064,14.431038384,12.065882208,7.604943048,13.699689384,17.255707752,7.874442816,7.07425332,14.336734776,13.965960504,14.05748892,19.25650548,14.093334672,13.719645024,23.129605296,14.682908544,11.680972344,15.968497752,13.086313248,16.967190744,16.17504072,17.696558472,16.992108816,11.999467128,13.509485712,16.157143584,17.13128328,18.138,15.847424976,15.936319824,13.274401176,14.602326384,25.864846224,21.904036056,19.4312868
"18-Mar-00",17.609434608,17.246496672,17.726604936,13.372568616,15.50341416,17.118195528,14.899362096,12.037831296,15.974488728,17.707421784,17.363349432,16.7331462,17.939136024,12.91177368,17.981155872,18.502082352,14.8234806,17.592022416,18.287768832,18.13237668,18.858263976,16.11901188,13.406905176,14.746670712,16.101279264,19.07347728,17.407237536,17.041148184,14.690770632,14.63031864,16.389963624,15.278433312,17.91205644,16.63356828,8.976724152,9.180648576,14.271888264
"19-Mar-00",0.324992616,0.45376212,0.33481788,1.398787032,1.232913672,0.554575632,1.43912808,1.709177424,1.040195424,0,0.619850136,0.115849824,0,1.01390916,1.092828336,0,0.037490088,4.390392072,0,0,1.285665216,1.369961136,1.774476696,3.258087504,1.391938992,0,0,0.119948736,0.922005672,1.02588432,1.2799716,2.60446644,2.49842172,0,2.746672152,2.539278384,3.853399152
"20-Mar-00",4.076827176,4.579696296,3.73326696,3.83886696,2.030047056,1.833302016,3.049196712,1.121044728,3.357551328,3.503108736,3.722762712,7.204472064,3.829514976,2.96303736,6.08953356,3.931044456,2.628571992,3.334219344,4.784511912,4.297570464,8.03536176,3.728663568,1.956050088,3.028634904,4.280562048,4.789431456,2.47170372,3.95973264,3.365383392,5.012161008,4.326201072,4.483811256,7.114299048,7.246730088,3.4097178,4.16387952,2.828024976
"21-Mar-00",1.662897,0.8289468,2.33437068,0.35274432,0.297121032,1.305553248,0.01122876,1.168477632,1.379469672,1.543635792,1.279030944,0.254085432,0.096046608,1.852860144,0.533223816,0.014431416,3.632445216,0.64242888,0.120159072,1.469475024,0.27323328,1.800605544,1.013470608,1.586598696,3.98177112,2.305390488,0.744166512,0.578616984,0.842981904,0.86833092,1.197681168,0.352000632,0.498235608,0.752324856,2.317321848,4.154606928,1.763137752
