"date","Pixel16500453","Pixel16470453","Pixel16500454","Pixel16470454"
"01-Mar-00",68.554109568,67.876195896,70.343107224,71.521665576
"02-Mar-00",0.513163848,0,0.662570136,0
"03-Mar-00",1.505180952,1.220425752,1.461829848,1.17667884
"04-Mar-00",9.173899416,12.295247544,14.79712344,21.56910324
"05-Mar-00",22.24842168,21.160095696,19.524574752,19.296811584
"06-Mar-00",6.1656282,5.079606048,7.608000048,5.978862408
"07-Mar-00",0.81246204,0,1.07519844,0.332234112
"08-Mar-00",2.880396192,5.378613,2.549509056,1.623498744
"09-Mar-00",12.19231368,6.178175208,4.728917952,5.058620448
"10-Mar-00",0.67977708,1.658583456,1.6744566,2.148083736
"11-Mar-00",7.689657936,6.530038128,7.67080164,7.889019024
"12-Mar-00",6.073230024,9.00005364,9.789400584,28.247729304
"13-Mar-00",10.244027136,9.767501592,12.03095628,11.582443704
"14-Mar-00",2.635179168,2.985316872,1.703437152,2.119053312
"15-Mar-00",8.992241616,6.766000992,14.769491664,7.528337712
"16-Mar-00",0.509884128,1.679685648,0.37480716,2.403921792
"17-Mar-00",2.768836848,2.729381376,2.248295016,2.321389128
"18-Mar-00",2.094052608,2.545023504,1.9591248,2.480614728
"19-Mar-00",0.15148416,0,0.402041232,0
"20-Mar-00",6.987864024,9.736966608,8.510522592,11.444772
"21-Mar-00",1.379185704,2.234978736,0.69210876,1.906047288
"22-Mar-00",11.711606016,10.715984352,11.898233424,10.69783116
"23-Mar-00",0.05938368,0.321351696,0.092356176,0.172095432
"24-Mar-00",4.177033776,2.954658504,2.539877064,2.643847536
"25-Mar-00",20.668573368,21.935368536,21.625579824,22.958198544
"26-Mar-00",0.571591752,0.70088472,0.457445976,0.595791672
"27-Mar-00",0.011646744,0.02802396,0.095064216,0.031229328
"28-Mar-00",7.109540472,8.468265288,6.326223144,11.927943696
"29-Mar-00",22.665241248,20.692943568,23.05788516,18.812368872
"30-Mar-00",4.460004696,8.31270576,0,0
"31-Mar-00",51.339998256,29.04091644,34.634279256,36.509505264
"01-Apr-00",20.063774592,14.55627108,19.231729032,13.992898464
"02-Apr-00",22.328846448,22.675183296,18.966941352,20.26094484
"03-Apr-00",6.217504272,12.795548904,6.363917112,9.325290432
"04-Apr-00",3.943715928,2.686028112,3.98309076,3.105677616
"05-Apr-00",11.802342648,9.132313008,11.816833728,10.068892488
"06-Apr-00",5.1618762,6.254806992,6.45369888,8.72698188
"07-Apr-00",0.721757952,0.631527192,0.281388984,0.0591432
"08-Apr-00",2.356999032,2.207055864,0.497310552,0.032411808
"09-Apr-00",31.127337456,31.08720588,33.845930088,33.440903664
"10-Apr-00",0,0,0,0
"11-Apr-00",19.806245328,17.867690568,19.68151188,17.404479504
"12-Apr-00",0.198695544,0.04464588,0.761951568,0.184856136
"13-Apr-00",0.45873576,0.656367744,0.44954892,0.649013664
"14-Apr-00",0.255925608,0.223491432,0.664845672,0.6297558
"15-Apr-00",0.16168932,0.12787368,0.090468648,0.131111232
"16-Apr-00",20.454660408,21.454916952,20.23919964,19.611340992
"17-Apr-00",0.59385168,0.731681016,0.72207708,0.825571776
"18-Apr-00",0.736951536,0.756684072,0.82451328,0.846193056
"19-Apr-00",2.17271484,1.379130984,1.456598184,1.004723568
"20-Apr-00",14.569471848,18.0448308,15.256289016,18.173832888
"21-Apr-00",14.379022128,16.582310208,14.456633088,15.737863536
"22-Apr-00",0.61163124,0.689996928,0.696282768,5.6999184
"23-Apr-00",4.794315216,3.836884272,3.938068992,3.359384184
"24-Apr-00",28.610295288,31.4000616,25.590373992,29.19501972
"25-Apr-00",9.197280408,7.651666392,11.866913784,8.014679424
"26-Apr-00",0.092521416,0.111938832,0.091448904,0.335312856
"27-Apr-00",8.994089832,7.965502032,8.209053744,7.21958112
"28-Apr-00",0.137952672,0.14481576,0.134800032,0.033462528
"29-Apr-00",4.744008768,8.276932248,9.823729272,9.827103144
"30-Apr-00",12.049851888,7.749078504,8.332756512,7.485950952
"01-May-00",0,0,0.47405616,0.481566
"02-May-00",3.27290904,3.406275984,5.50997544,3.261852624
"03-May-00",5.58407592,4.447122216,5.009741304,4.52346576
"04-May-00",1.401538872,0.882672792,1.506915264,0.71458656
"05-May-00",11.145383112,10.233552936,12.526681416,11.054399736
"06-May-00",2.463454128,2.508008112,2.597782008,2.80726344
"07-May-00",1.134817872,1.085200752,1.416111504,1.083626664
"08-May-00",0.362369808,0.086012616,0.169112208,0.070401768
"09-May-00",15.95859288,13.785033696,15.606944568,15.253980168
"10-May-00",27.858143808,20.292582024,25.553592672,14.50756788
"11-May-00",27.536493312,25.625058168,23.719658376,20.15051508
"12-May-00",9.347315304,5.637638568,11.031116736,6.344313384
"13-May-00",0.529905936,1.16064996,0.778142184,1.411163088
"14-May-00",2.4109524,1.168623624,2.705441952,1.44187716
"15-May-00",0.072210048,0.31278852,0.06987744,0.392716656
"16-May-00",2.469616944,0.675758688,2.430360672,1.102854072
"17-May-00",16.410620208,16.44813252,15.335329056,12.689226144
"18-May-00",8.047132008,6.212373744,8.683916328,8.928053136
"19-May-00",0.994228992,0.97431912,1.106195832,0.898452936
"20-May-00",0.319417032,0.343049064,0.245091072,0.347193672
"21-May-00",0,0,0.057751008,0
"22-May-00",0,0,0,0
"23-May-00",0.093223416,0.237883008,0,0.192204936
"24-May-00",0.01158636,0,0.011716344,0
"25-May-00",0.178796376,0.130811736,0.172433184,0.141674928
"26-May-00",0.868163832,0.923530872,0.82015308,0.950444616
"27-May-00",9.519555336,9.047279112,7.403342496,7.602840912
"28-May-00",10.570002792,10.598825448,11.31056928,10.782109728
"29-May-00",4.283056128,4.083418248,4.137513048,5.685718776
"30-May-00",0.22064796,0.51156624,0.281242896,0.499582296
"31-May-00",2.524260888,2.714621544,2.248129416,0.99686292
"01-Jun-00",3.584506992,3.879456648,3.90844596,4.235547792
