"date","Pixel15780519","Pixel15780520","Pixel15750522","Pixel15720522","Pixel15780522","Pixel15690520","Pixel15690521","Pixel15690519","Pixel15720521","Pixel15720520","Pixel15720518","Pixel15690518","Pixel15750519","Pixel15720519","Pixel15750521","Pixel15750520","Pixel15780521"
"01-Mar-00",14.2044282,17.037184248,13.791340824,11.610154152,18.834782112,12.061586376,10.654621128,8.935772184,11.523658272,11.508993384,10.012747776,10.237102032,11.732747544,11.113550664,13.896532056,12.646774296,19.013659008
"02-Mar-00",7.061331504,3.383964648,4.72125828,8.402072664,3.496433256,10.004770512,9.464522832,6.104166984,7.899087672,5.417150616,5.893936152,5.406747936,5.028795,5.37703656,10.01051832,4.398042432,3.930926448
"03-Mar-00",1.704472128,1.029588552,2.869113576,1.212186288,1.324362696,0.547479576,1.259265672,1.325964864,1.019470368,0.19053744,1.10893848,1.352107104,1.225192488,1.577008176,1.716685128,1.021223376,1.69336152
"04-Mar-00",7.618984224,9.907552248,10.953668832,8.76812196,8.62782168,15.804036144,10.809556968,16.645287048,8.929757592,16.765427112,13.146158688,14.243569848,15.081723696,17.091982848,11.435264112,13.175481312,8.559250128
"05-Mar-00",6.880232328,5.926069728,4.011478176,5.190421344,3.348782664,11.759911536,4.76578152,8.138201232,5.34344244,5.871631272,9.056540976,9.03142476,7.19738388,8.64041304,4.830470688,6.21148968,4.53064836
"06-Mar-00",3.33642912,4.778077848,2.488229688,2.223280368,2.017606608,3.200896032,2.430674136,4.397247072,2.471513088,2.962833696,3.148289328,4.085008968,3.086896056,3.362936136,2.56388568,3.10176624,2.365203192
"07-Mar-00",2.471182656,2.829608736,3.386806368,3.297174816,2.40596832,2.883298512,3.334382424,2.21413404,3.741700536,2.6828034,2.310296952,2.154576648,2.5269606,2.505904008,3.813706752,3.027708288,2.678726256
"08-Mar-00",12.414861192,10.52418924,5.377284768,3.329213976,5.455745448,4.878394968,3.743574504,4.429072032,3.827152848,4.705237632,4.585522776,4.4625156,5.511934872,3.799596192,9.398742192,6.983411544,6.937106616
"09-Mar-00",0.199458624,0.1221942,0.061519824,0.076335672,0.06083688,0.195677592,0.507633144,0.474841344,0.096832248,0.062063016,0.522574512,0.744700944,0.231173904,0.179005704,0.033017448,0.12079104,0.075145968
"10-Mar-00",27.911456112,24.822632784,16.794592392,14.431776528,20.350031376,12.967593672,12.995136744,13.078338144,13.854147432,13.683757776,12.440587512,10.444400304,18.833733552,12.196044456,16.387629024,19.340313432,21.011009208
"11-Mar-00",2.482984176,3.509048928,4.146694416,3.380459544,3.362684016,2.820089232,9.090702288,3.259806984,8.470059168,2.808606144,3.652477392,4.380677112,2.380111104,3.241261848,4.226704728,2.812417392,3.583343976
"12-Mar-00",1.475104104,2.251460184,1.159498032,1.909164552,1.025380176,2.841168528,2.353596576,1.92498816,2.064438168,7.084223976,1.598069256,1.708107408,2.633182176,3.090877896,1.316977848,1.87235892,1.388907024
"13-Mar-00",11.22476292,10.00167132,9.272153376,10.539796104,11.887095456,16.440277584,11.49647856,10.258468872,10.743428712,10.864430664,9.488023992,9.114920856,9.755600448,9.756392952,10.051156272,12.061172952,10.237302312
"14-Mar-00",1.460000664,2.17174404,2.367074136,1.438907784,3.036540624,0.188380008,0.38618508,0.736557312,0.80824944,0.448061976,1.104759168,2.595388224,1.096945704,1.046901312,1.77096408,1.598022408,2.598158424
"15-Mar-00",7.62814236,7.306682112,4.563432456,6.625290144,6.73348116,6.926876304,6.834837192,8.634060144,7.264055016,4.735252272,8.158250568,9.11117292,4.836259608,7.584754224,8.045672904,7.680454008,5.8352952
"16-Mar-00",12.585685728,12.76118232,15.427017696,11.278435704,13.78322268,7.79662944,7.253066544,6.444575064,9.907816176,14.785673616,7.991234064,6.756792792,12.865326408,6.990649224,13.022117616,11.304785016,14.075211528
"17-Mar-00",4.722477792,5.366646048,8.01886512,8.259722472,8.449554912,5.527499904,6.327755208,6.022104264,7.279927968,8.023065096,6.813615552,5.131424544,7.102355712,8.158715496,9.179089296,8.373488904,7.708137264
"18-Mar-00",7.060056936,8.511033288,14.66129064,15.313801296,11.734258176,11.05497408,14.383337976,8.980288992,13.96923924,9.472376352,8.04505992,9.884124048,8.004285336,8.117835768,12.812826624,8.729920152,10.639545672
"19-Mar-00",1.102054512,2.238878664,5.188005576,1.328644224,1.113012408,3.166328064,0.426530688,0.446583288,1.678614912,3.731658336,0.447744456,0.448378656,3.760862592,0.58138248,8.428808928,8.420735112,1.34607948
"20-Mar-00",14.368802544,24.042397488,5.89295196,4.162904616,14.542867176,6.335874792,2.670437688,3.906206136,2.454356784,3.83579028,4.483460784,5.668073424,7.728961224,4.35595572,5.929906008,6.998931168,13.372740264
"21-Mar-00",2.67944652,1.972872192,1.388396064,0.347367144,8.527766712,1.72079748,1.508360808,0.182667456,1.427983056,2.026953048,1.18344132,0,3.638580672,0.570548856,2.004428736,5.195335152,1.692615336
"22-Mar-00",18.089850432,9.658932936,2.700216648,2.5999344,10.58649372,7.533698568,4.524250392,14.9049096,3.397661088,6.275681736,16.213421352,15.347226624,5.479251624,14.463947304,3.493614072,5.518393632,12.478185648
"23-Mar-00",14.234282976,13.232205384,7.817804568,5.808100464,9.666554688,5.498889696,3.858235728,5.892775296,5.794343232,8.194903128,8.408219568,5.913952944,11.660209176,8.662302744,8.934981816,10.101273528,11.118440856
"24-Mar-00",2.19681252,1.661343288,1.438362024,1.281111888,1.029601872,1.132292112,1.772582712,1.785984816,2.055082272,0.917340792,0.320026584,2.1828636,0.587231256,0.457047648,1.010309736,3.619823808,1.122342288
"25-Mar-00",1.303559136,1.03797528,0.169029528,0.531681648,0.163458576,0.487447152,0.161400048,0.477766248,0,0.361888104,2.04180228,1.146562272,0.679534248,0.9865272,0.49374984,0.776141352,0.751878
"26-Mar-00",10.881849288,10.572120672,6.070421208,4.625329608,8.759016744,6.087241896,4.50928188,5.593458288,5.03539824,5.212447296,4.906341792,5.904018048,7.971351384,5.566317552,6.090450528,9.674701464,8.97159792
"27-Mar-00",0.382647912,1.122989136,2.346114096,1.290370704,2.679128952,0.601713936,0.718373976,0.32038764,1.384287984,0.780691896,0.198621624,0.12859872,0.143124576,0.261396168,2.095203096,0.75662112,2.525289768
"28-Mar-00",0.925350936,1.06905036,2.195985144,2.033569152,1.976027904,1.675941648,1.201698024,1.010700792,1.825494816,1.256234592,1.324061664,1.328046072,3.83736312,1.00942584,1.691105424,3.159036744,1.969651752
"29-Mar-00",4.03819872,4.044613128,3.423406728,2.70384156,5.374897608,4.205050344,3.633804192,3.9213252,3.111313824,2.73749184,2.170987656,5.306452992,3.02927364,3.637463088,2.900562816,1.9054674,2.713172256
"30-Mar-00",21.507007608,19.588047984,9.023376696,7.531916136,9.620099544,7.044753312,5.849579568,7.04263044,7.697873352,9.926778312,10.01891328,3.251238576,16.698639384,9.542133096,10.743287088,14.951617248,14.936006064
"31-Mar-00",1.841318616,1.908831048,2.703547944,3.11764956,2.080410192,2.802825984,3.210868488,2.302573632,2.870992008,4.309184784,2.134545912,1.976475288,3.845557104,3.629010912,2.561262672,4.025474304,2.208639432
"01-Apr-00",0.203275704,0.491323968,5.055376776,0.368927088,0.286820256,1.798520376,0.299304816,0.011873088,0.297398112,3.221633784,1.113912288,1.230917136,3.001495248,0.35438544,4.46691156,2.01017064,0.56705988
"02-Apr-00",4.483443624,5.260232448,7.97328972,8.267521608,6.143129832,3.691586136,6.342259176,4.43723952,6.961988208,4.800503976,3.01045632,2.48508204,5.031919608,4.494869472,6.921124944,4.72683084,5.63487768
"03-Apr-00",13.934261808,13.41828204,20.75779152,17.19092988,15.06190968,19.989759912,16.9598136,18.286409856,19.29866124,21.100004208,21.731463432,19.784770488,20.957668296,19.477121832,21.102828024,21.9641862,14.727421752
"04-Apr-00",23.226167688,41.138940816,14.133082872,14.648095608,31.050413136,18.02782488,17.850718968,20.335533144,14.967078216,14.866199976,14.988754752,18.51725292,16.136871816,15.61255788,14.143579968,15.668900016,16.786487112
"05-Apr-00",19.466608992,15.759158136,3.221671704,4.976361048,10.14189648,4.191116088,6.635622744,7.053334944,6.778558008,8.454628224,6.36465096,7.728127968,8.1960504,9.082502592,5.5702908,4.83633792,32.572411536
"06-Apr-00",5.186847936,14.28797436,17.959320552,7.301866296,9.953068248,3.764375928,5.1408888,4.098028776,10.990661856,8.445222624,7.340364936,4.506709464,11.532767784,4.485865464,23.594813352,20.359156608,9.697619688
"07-Apr-00",1.611129648,1.289916336,2.450780688,2.177375616,1.331050776,1.698054144,2.740318536,2.838414072,4.355716464,6.023531208,1.739403792,3.527243256,3.569467656,6.532170288,3.534449448,9.857712504,1.0832946
"08-Apr-00",2.853040512,3.128007528,4.909823664,3.36787068,1.758093408,2.984950848,4.245439416,2.723343192,3.676517136,3.946865568,3.600608112,3.649382472,5.023054728,2.54959416,4.805052648,3.721690536,3.432980424
"09-Apr-00",20.347861296,21.621321192,7.666110984,7.06799556,9.629826312,10.343948376,7.653719904,8.589768648,11.78999448,15.66540528,17.105619912,12.072258,14.556730272,19.574596872,11.170407768,14.21501256,12.328930368
"10-Apr-00",6.608588928,9.387647856,20.425951488,10.629743808,13.95836592,6.760090104,9.001744512,7.509031536,7.219091904,4.18215252,4.947387456,8.017822992,5.556134472,2.03541648,14.530026912,5.43151332,10.86277128
"11-Apr-00",12.107653152,17.78263236,9.264735456,9.610454328,8.648977512,15.477763656,9.087061632,15.939601416,10.14274908,12.586529736,6.772328136,9.964357848,9.038126712,14.530131336,7.498938552,7.978738536,11.30552244
"12-Apr-00",8.463139776,4.634355792,2.642742624,2.955354096,1.830344808,5.248723992,3.838693488,4.548005808,3.661340832,11.200364112,9.016224144,4.7009064,9.760447752,4.198100928,4.3323834,11.52879096,2.702220264
"13-Apr-00",4.81864536,6.043958904,4.729534512,4.591402176,4.451988456,3.752621064,3.196245432,4.7570082,3.9332682,3.444075456,6.137779008,8.225590464,4.748826744,5.254456032,4.526892912,5.119842768,4.437552096
"14-Apr-00",1.774078488,21.876318456,1.845381792,3.136907448,16.345948224,6.164763456,5.044074648,10.107878928,2.492414664,4.424445024,2.255296296,2.20637172,2.285292504,2.814116304,2.269105008,3.801982992,16.508678904
"15-Apr-00",43.65788268,31.591295232,38.433202752,41.565444936,42.360483168,31.899796488,36.881807328,24.834300048,38.41066932,32.555462832,23.42357112,25.225459104,25.323277464,25.20943164,33.57543468,29.979801168,31.766000736
"16-Apr-00",0.37781412,0.0283224,0.202245024,0.0493092,0.111659784,0,0.04796028,3.108408096,0,0,0.119045088,0,0.197621352,0.270639576,0.081756912,0.167977464,0.2425428
"17-Apr-00",16.16762496,1.601072064,0,1.546737504,1.914195648,1.754414856,5.366503368,1.14729612,5.247127176,1.021645992,2.323149384,2.904370128,5.734113696,2.553570096,0.78249996,2.004986832,1.998076368
"18-Apr-00",17.13843012,10.136678688,2.806577688,2.248360272,4.82407308,8.753024328,7.12257456,10.786211016,2.338636272,5.344684128,10.19946312,10.908727176,9.07743,7.429919952,8.582769864,9.90692496,7.066861872
"19-Apr-00",25.068686496,18.12778044,10.40890788,7.81889964,16.0397172,4.889953848,5.060368176,5.285812848,7.148134944,6.005291472,4.448786616,4.935305712,6.665835144,5.170189968,9.777908568,8.356600992,18.315453528
"20-Apr-00",6.594447624,6.04459548,4.723908312,7.827417624,2.637739776,8.842727424,12.762116424,7.651810176,11.138417232,7.412223816,7.508272656,7.125114432,7.149565464,7.560123672,5.478581064,5.68336128,5.844421512
"21-Apr-00",10.312365528,1.682347128,2.158491432,3.527842272,1.78712208,1.642920432,4.1394192,1.788630912,4.316457144,12.494234568,2.287510344,2.7346242,1.995753408,1.84477848,4.069117776,1.680178104,3.036409032
"22-Apr-00",14.024232384,16.067889696,19.273816104,16.459279056,22.020834456,12.540846336,13.230042456,12.151411056,14.414950848,12.382680408,10.651863096,12.905811312,11.641725552,10.94877648,14.876648424,14.425673952,15.608357904
"23-Apr-00",14.98129176,16.383909696,8.528612856,10.334872488,13.065432072,7.418341392,5.789200896,6.43329048,7.214884032,8.264640576,17.4861846,7.291726824,6.682273152,6.182003256,10.248644112,6.824185608,11.398321152
"24-Apr-00",7.111582512,6.179843904,9.001425504,8.96130324,7.1593566,1.396141656,6.819884064,1.353818712,7.242766152,1.958025984,2.476810824,1.37672808,3.132883776,2.001056136,14.91158724,3.01441992,4.1089164
"25-Apr-00",16.262316216,14.847069744,16.10491704,17.148641112,15.69171096,19.438475136,19.153554432,17.852140896,18.546835896,18.815862168,17.21218728,17.55961848,15.628373616,17.549361696,17.858057496,17.124094968,22.326172824
"26-Apr-00",2.872843992,2.6870892,0.070558512,1.209212592,0.73570464,0.597237864,1.966542888,0.6476964,1.010027112,0.801954216,1.15556736,0.673656552,1.050520152,0.186362952,0.394040232,2.01228708,2.017505592
"27-Apr-00",8.223940368,10.64176656,17.467190256,15.567142008,19.057721616,9.125975856,12.482811936,6.486214392,13.514967432,9.02281236,6.033833736,6.269783016,7.483089216,7.27524804,14.944696416,9.258374688,15.515417568
"28-Apr-00",0,0,0.017842248,0.073031568,0.137017176,0.547004616,0.15167616,0.656835264,0.190551312,0.510764568,0.177380064,0.283455288,0.034377768,0.304304592,0.07333956,0.187002456,0
"29-Apr-00",9.8606658,8.874673608,5.77635312,3.303425064,3.920721168,12.297104352,5.307864192,3.846088896,5.242466208,5.00652372,7.023388632,6.28262328,6.133561128,4.48040736,7.919496768,9.341714136,7.98660636
"30-Apr-00",9.437582736,9.079738848,5.592314952,3.196737168,4.415067312,5.76890052,3.640325904,8.81302428,3.753940704,7.064232576,7.74213696,8.043254616,8.224198584,8.705988408,6.017127504,14.579478264,6.427171464
"01-May-00",11.613514416,17.239658832,18.92735052,3.688367136,5.716082088,10.758786672,5.97648024,6.962109816,5.047435992,15.806972976,7.919981712,6.421544544,26.776393896,13.42363644,13.93663644,17.180758944,20.994352344
"02-May-00",6.731626512,7.373366112,7.17303156,6.107419248,14.356345656,6.172885176,5.43363012,6.726693384,5.923556328,7.644180528,5.89302492,6.720339768,7.488676776,6.110059968,7.041066888,7.603083384,14.037600528
"03-May-00",6.453545808,10.184385528,5.228518008,4.851293208,6.304392096,7.158441792,7.28132844,6.361888656,5.231773848,6.638528112,5.618221512,9.479073288,7.69462896,6.328954704,9.743146416,7.53679848,12.295623768
"04-May-00",0.784603632,0.645891432,4.096915488,5.122393728,0.791717568,1.58029728,4.38269628,1.107211512,2.542338264,1.527465456,1.26841932,1.122426432,1.447307736,1.56583464,3.521605608,1.732035768,0.798881568
"05-May-00",0.360052896,0.818013408,2.788305048,4.433389296,2.25891744,1.027975656,1.286482224,2.075015904,2.780745864,1.77323484,0.698646792,1.649724672,0.848923008,0.749238912,3.266818632,1.694804016,1.6056996
"06-May-00",4.741455672,3.34858668,5.672818776,6.292216296,2.543514144,4.552866696,7.507589568,4.475889096,6.032536272,4.324954752,1.677448344,2.857162368,6.269415384,4.165515312,5.348026872,10.72227,2.502943392
"07-May-00",2.399702496,20.363152032,5.379561072,5.7133212,1.450014,6.584433312,10.53538512,5.189534784,7.587058056,2.988823224,3.89959824,8.508860352,8.682428592,4.991172192,2.856702096,3.661162368,2.020371264
"08-May-00",3.751618272,2.8071252,1.132601568,1.41635004,1.750734504,2.264107872,1.41988956,2.308767912,1.930651728,2.337376536,0.8329914,0.9933924,5.270880456,2.389468248,2.312890824,3.747024888,2.105538192
"09-May-00",5.19257712,5.115327,5.235548616,4.872497688,5.89637196,3.877208952,5.0113728,3.985142832,5.219417088,6.199389696,3.162340512,2.978721144,5.896237848,2.998183968,4.662037608,6.666332952,5.435387136
"10-May-00",14.290753848,17.246877192,10.475821488,8.493897912,14.423572536,8.587338216,9.828943488,9.853280784,9.691224576,9.886329888,7.462250952,7.019602056,9.297953376,9.75568128,19.157408232,31.461647976,30.624406824
"11-May-00",14.493577488,15.531406392,16.366528992,15.264571656,16.807921896,14.011332024,14.365349304,12.693327432,14.828188416,12.922472472,11.660381544,11.67482472,12.176025864,13.336250784,15.856910712,14.650241376,16.258996008
"12-May-00",6.324041616,6.680010072,3.601168872,3.674152488,5.625133752,4.449811224,3.954618936,3.78077496,2.943756216,5.058650496,3.400730976,4.475751768,7.257614136,4.347473496,3.314275512,7.056573624,20.58136368
"13-May-00",4.226133936,20.587158672,17.57159472,8.743703136,6.16244388,4.906943688,9.367609272,4.527053472,13.108866696,10.996785168,4.69368732,4.73175252,17.17320012,4.519976016,16.147473336,11.046313752,7.985800272
"14-May-00",3.658405416,9.5022912,9.595637088,4.486961952,8.228083848,4.395624528,12.069768912,4.27762056,12.044390208,4.841788896,9.396081456,4.574605824,4.09710396,6.279774432,31.003026,19.344969744,2.291597664
"15-May-00",0.706965912,0.682080216,0.841271736,0,0.367056072,1.694940096,0.967599672,0,0.93948636,0,3.387923592,0.10677276,1.325784624,0,0.790862208,1.430323008,0.34174236
"16-May-00",19.830359448,0.215189472,5.328351264,6.248605008,18.84391452,10.264319664,4.026658776,9.171012648,4.957450752,3.120046008,6.2606442,10.346170656,4.727143056,9.276750336,4.463936448,15.216467856,1.0105428
"17-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-May-00",10.949147712,11.244243624,13.32950448,13.785983568,8.5763526,13.180605408,15.285425664,13.018010616,14.398502832,17.348838336,13.312043664,13.828692912,12.438151368,13.675190448,15.410612592,16.538911344,12.573304656
"19-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-May-00",0,0.075429216,0.111769008,0.03236352,0.02851632,0.054868056,0.031798008,0.095899464,0.031067616,0.079612464,0.024522816,0.068333592,0.018046128,0.09415704,0.133943064,0.228311304,0.075418632
"21-May-00",0.618106344,0.76822176,0.236210376,0.125564016,0.116710992,0.190149384,0.349991496,0.219217992,0.15895404,0.353082288,0,0.294239328,0.879860136,0,0.086925192,0.60037212,0.132817248
"22-May-00",0.417959904,0.380809632,0.133222368,0.128820624,0.71582088,0.423728016,0.151867152,0.32572188,0.12877092,0.543482376,0.186554064,0.177178224,0.413965848,0.34311156,0.200739312,0.786698424,0.736962504
"23-May-00",0,0,0,0,0,0,0.04663572,0,0.048642192,0,0,0.33080292,0,0,0,0,0
"24-May-00",0.19035984,0.107343648,0.01431876,0.13990548,0.17192664,0.050717952,0.083588424,0.147250152,0.183017352,0.178155048,0.135897456,0.130940448,0.278146896,0.216013344,0.119108952,0.266153424,0.049186464
"25-May-00",0.452343024,0.74144544,0.830107488,0.600872808,0.998734296,0.272444736,0.464776656,0.243412824,0.64729764,1.336592856,0.19528884,0.164453832,1.67224164,0.245238144,0.950984088,2.116555104,0.786043536
"26-May-00",1.988802384,2.241803712,2.085619752,2.005047432,7.571627856,1.588434576,1.458594744,1.43548464,1.854400272,1.5937602,0.772585896,1.01027628,1.468861344,1.439135304,1.922121048,1.636677336,1.938990528
"27-May-00",2.027035296,1.320684936,1.769430216,2.244306216,1.363835256,1.84482336,1.634541576,1.200816216,2.097533592,2.896711704,1.532481912,1.12467144,2.725053912,2.674237488,1.638297744,3.181220424,1.313079264
"28-May-00",0.381871776,0,0,0,0,0.0451284,0.014395056,0.059563032,0.014494584,0.045106416,0.06123144,0.061333824,0,0.0594696,0,0,0
"29-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-May-00",0.700016088,0.437701872,11.172925464,2.179322184,2.132833776,0.188976096,0.029243784,0,0.030166608,0,0,0,0,0,0.037535496,0,1.964898168
"01-Jun-00",2.0059542,2.449114152,8.77733088,1.992898992,4.778055312,2.193713136,3.70909668,3.115652568,5.418398016,2.329221192,2.452450464,1.990652568,3.65655756,2.6235348,8.68716288,8.044837464,11.385944376
"02-Jun-00",0.74357388,0.90739068,2.727329136,2.687103336,0.405766056,0.601765128,1.249005936,0.933891096,2.01497448,1.381914864,2.062868544,1.607291568,1.141193472,1.447592136,2.474294544,1.53924768,0.50656428
"03-Jun-00",8.330961936,9.331900824,6.211713552,5.486342664,10.567205424,7.983007896,7.107987648,7.424212224,9.567573312,6.552854064,5.708742144,3.991108416,11.2986288,5.677082064,10.016065128,11.25568056,10.546792032
"04-Jun-00",19.794888504,7.247365248,8.433425184,6.558963072,6.637003176,3.2173512,10.804449312,4.913338776,10.19497776,5.050322064,7.944258936,11.714437728,7.667397744,6.566761488,16.357811448,5.895854112,10.009210824
"05-Jun-00",5.239980336,6.042881736,3.886732224,3.969797376,3.246342312,3.145085328,2.711736912,2.628850224,3.7109946,6.618137592,3.365036856,4.960562832,3.181416384,2.679023088,5.563539144,7.240812072,4.38146388
"06-Jun-00",10.67103768,9.91562892,12.554327496,10.587223296,14.714477064,7.808958288,9.453989256,7.399062384,10.333407648,7.253427024,7.94761848,6.525495528,9.416927568,7.664057496,10.125699528,8.571079728,13.071676248
"07-Jun-00",0,0,0,0,0,0,0,0,0,0.045331296,0.05642436,0.050658072,0,0.0557046,0,0,0
"08-Jun-00",0,0,0,0,0,0.186773424,0,0.05188008,0,0,0,0,0,0.056278704,0,0,0
"09-Jun-00",0,0,0,0,0,0,0,0,0,0.225731736,0.183008664,0.186359016,0.158992032,0.18767424,0,0.1862466,0
"10-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Jun-00",0.663502344,0.571148736,0.970869264,1.730774928,0.23307396,0.814074216,1.311013608,1.627285296,2.039110968,0.767587512,0.798189096,1.129901016,0.59189496,0.883139592,1.152002592,1.174684704,0.471363312
"14-Jun-00",0,0,0,0,0,0.034868712,0.019707408,0,0,0,0,0,0,0,0,0,0
"15-Jun-00",3.33246876,2.05147488,4.92799116,3.81236028,6.472922808,1.637472696,4.256895672,1.18589928,4.551144,1.392060312,1.591080312,1.189522584,1.87273908,1.31704464,4.081155192,1.934111064,5.499346008
"16-Jun-00",3.115469088,3.62408208,10.320467232,6.685839408,5.52470184,3.414110544,6.76472496,3.3952614,5.497494216,4.331357352,3.465441576,3.838554024,3.636864432,3.694146384,6.603012792,3.900243408,4.667919864
"17-Jun-00",3.93831576,3.433613424,1.502707416,2.709367632,0.430496112,1.904170464,2.95627284,2.037978528,2.97705012,2.163365904,3.245462904,3.281065824,2.97452616,2.29884876,1.6601622,1.974181296,0.910475928
"18-Jun-00",0,0.192460632,0.845960328,0.813383544,0.913506576,0.733944216,0.561114816,0.43213584,0.736698888,0.588201192,0.022235376,0,0.106258872,0.271409496,0.93195516,0.363728904,0.782844264
"19-Jun-00",0.49354104,0.839393472,1.13769444,0.888941016,0.899644632,0.507753744,0.658174848,0.324552288,0.708118344,0.51395724,0.51970656,0.38741796,0.625994496,0.414490392,0.745592784,0.673982928,0.8114664
