"date","Pixel15810514","Pixel15810515","Pixel15840512","Pixel15750512","Pixel15780512","Pixel15810512","Pixel15810516","Pixel15750516","Pixel15750515","Pixel15780517","Pixel15750514","Pixel15720513","Pixel15780516","Pixel15780515","Pixel15750513","Pixel15780513","Pixel15810513","Pixel15780514"
"01-Mar-00",9.932954544,10.765711776,8.095731504,5.91583872,6.146311992,6.457548384,12.822731496,11.072530032,8.88455844,12.61008168,7.087906128,6.181169976,11.1928482,8.951037888,8.516818296,7.27810908,8.089362864,8.542548888
"02-Mar-00",8.358217488,7.264203072,9.090735912,10.89661932,10.813176144,11.157231336,4.66568112,10.450186728,8.87695956,3.392291664,9.925005192,8.264919528,5.294435616,7.826203104,9.406069992,9.746397264,9.654598464,8.310401208
"03-Mar-00",0.416762664,0.524797128,0.831273336,0.397335864,1.258461624,0.696978768,5.067363024,5.131739256,0.249353712,1.647648624,0.278948376,0.754974072,6.12577056,1.408121472,0.273709368,0.992979528,0.716665944,1.037575992
"04-Mar-00",9.341104032,7.003427256,13.382756712,16.208363064,11.331572064,10.839068424,8.055851688,13.4718876,26.192968368,7.357134096,22.600672248,33.070143696,9.205151808,13.406437392,21.587897304,13.234202376,12.366867552,23.309586528
"05-Mar-00",13.362050064,12.76756524,15.003091344,22.911859992,15.849001416,12.935987952,9.358110672,12.501927864,18.23598576,10.893951408,22.77752208,27.811108584,18.501162528,15.609479424,25.810532568,15.689323416,15.482501496,16.442311752
"06-Mar-00",10.218572616,7.773909336,7.733889336,7.52377296,12.500749104,6.592988496,6.539146176,3.844168416,5.999762184,3.06898428,6.767466552,5.839216944,4.356717456,6.758760456,7.565984496,8.891104464,8.3745768,8.39444376
"07-Mar-00",0.796637544,1.193988288,1.239068712,1.839563016,0.889500528,1.533346656,1.208836656,1.657539552,1.589232264,1.695594552,1.52378208,2.138675976,1.165382712,1.311506424,1.737479928,1.421618352,1.341982656,1.4437176
"08-Mar-00",4.826399448,3.444269664,5.192653656,5.633080968,5.698991424,6.806401488,4.29447912,6.009088032,5.33935224,4.802676912,5.30597556,5.942916144,4.801479216,31.166398992,7.8234222,4.244827152,3.690740712,5.462891232
"09-Mar-00",14.957801352,12.704360952,2.16648192,4.536245592,7.964503536,9.87727476,2.397292968,6.898539312,4.97893488,2.245236576,7.694206944,3.560803056,3.922732464,21.513899808,7.778039208,8.404271376,7.394301648,27.478506096
"10-Mar-00",16.982667456,20.918247696,16.830578328,11.428173072,12.212904456,14.61924792,25.913320536,17.839045992,14.212172976,28.121838576,12.552319056,9.87506748,24.490184784,18.6503706,11.809778448,13.967498304,16.24635744,15.98799276
