"date","Pixel15960465","Pixel15990469","Pixel15990468","Pixel15990466","Pixel15990467","Pixel15810469","Pixel15930471","Pixel15900471","Pixel15840470","Pixel15960471","Pixel15900470","Pixel15870470","Pixel15930470","Pixel15930469","Pixel15930467","Pixel15900467","Pixel15930468","Pixel15960468","Pixel15960469","Pixel15960470","Pixel15810467","Pixel15840469","Pixel15840465","Pixel15870466","Pixel15870465","Pixel15840466","Pixel15930466","Pixel15930465","Pixel15960466","Pixel15900468","Pixel15960467","Pixel15840467","Pixel15840468","Pixel15810465","Pixel15810466","Pixel15870467","Pixel15870468","Pixel15900469","Pixel15870469","Pixel15900466","Pixel15780468","Pixel15810468"
"01-Mar-00",9.588647592,0.830598768,2.071114176,10.158177864,2.829565824,10.364471904,1.025727696,1.74220812,8.4896772,0.941119368,6.7607274,3.998752008,2.114713488,2.810869752,10.077551376,19.587262632,5.716485504,4.52022564,1.87232388,1.110967656,12.450410832,12.11813592,15.667744152,18.754890912,22.780956744,15.35120916,18.354437832,13.186802376,18.763906008,13.508564472,8.531983848,14.708476056,13.827136512,12.975389952,12.710376264,18.641099448,14.802543648,4.25874888,8.75938296,17.683806888,6.550408608,11.87129616
"02-Mar-00",13.456985952,15.067276944,15.266568672,15.800880432,15.306100848,8.382006888,8.032618752,5.979017976,7.75159836,7.7911992,8.592211968,8.212879656,9.07480932,10.3861506,10.552199352,7.757003544,10.01444148,12.91161204,12.161703576,11.308710336,6.155826336,7.882439376,8.175185688,7.844235432,9.975014448,6.7933824,10.435428144,10.603105536,13.387382976,8.478662256,13.253355504,7.194573648,9.123723504,7.48237824,6.504873984,7.545669072,7.46964096,8.77754832,7.711776504,8.457307584,6.750332592,7.59434652
"03-Mar-00",0.72762564,0,0,0.974006208,0.620334096,1.571744976,0.77848668,0.489555816,0.746402088,0.136338312,2.666222688,0.603751248,0.34917852,0.372025224,0.21024684,0.39834312,0.117572472,0,0.041520648,0.202154328,1.029169776,0.782132952,0.845130168,0.362964,0.496588704,1.351400088,0.281806896,0.276948888,0.133315872,0.412885272,0,0.447038688,0.575324256,1.20810396,1.299012432,0.39516936,0.595335336,0.403542048,0.61265484,0.2005854,0.881234664,0.831680328
"04-Mar-00",2.815407336,3.90428352,3.898931256,3.692113992,4.416479952,3.86915052,3.582185616,2.381562888,1.394789808,3.275102736,1.596188496,1.159389408,2.678686392,2.139746736,2.866809912,2.562402792,2.020783968,3.68680536,3.213265296,3.102661008,3.906868824,1.589786592,1.59327204,1.595711232,2.013919464,2.277963816,3.284104944,2.742589824,3.644011968,2.170639704,4.096101168,2.219904552,2.009702496,5.057386992,4.395869856,0.918606696,0.624344088,1.440857568,0.788431224,2.649668088,6.678156144,3.975837
"05-Mar-00",9.728841312,12.716850768,12.868007184,12.185786256,11.601511008,12.306259632,15.087819096,15.099524976,17.359444152,13.032557496,13.07550144,17.205943104,13.700260152,13.781797896,15.3312564,15.06002856,14.79920196,13.484692104,13.322781096,13.16261244,10.835121624,15.17693568,8.905501848,13.618330488,9.914816376,11.775315288,14.710551744,10.075969224,14.078497416,14.811624528,13.242150312,13.966931808,14.813105112,4.778738376,8.799199824,15.451515192,17.044186584,14.97300912,16.653878688,13.74575472,9.125237712,11.350586424
"06-Mar-00",5.927720184,5.729312184,6.891000504,8.931835416,8.665258176,7.575360048,11.854922544,9.68268228,6.84199404,10.889951712,7.754829888,7.435026168,9.084204192,6.807557352,6.187477104,6.850612152,6.15641928,6.398233656,7.019642112,8.294990304,8.31572556,7.08127356,4.618820064,6.9804132,5.082379824,6.892189272,5.935164216,5.096253624,7.26023556,8.314231392,7.421992056,7.53676272,6.992684136,5.7690618,7.96240068,7.3321116,6.528573984,6.191622024,6.33632112,6.670864824,12.827824104,7.98179412
"07-Mar-00",6.751073592,7.256973984,6.595036272,6.214714776,6.621700992,6.838531488,9.340523952,8.44833828,7.676779752,9.01639008,7.485065472,6.710851896,7.895416248,8.110807656,8.624215368,6.307586424,8.342493288,8.805285216,7.724765544,8.727695712,6.043106328,6.589899312,6.219688656,5.16779244,5.95954764,6.049582968,7.862812752,6.852239376,7.7381022,6.156844128,8.66416812,6.51993084,6.540652512,5.972632536,5.374066104,5.892851832,6.550744056,7.184844024,6.052134984,5.863874664,4.388911488,6.805749888
"08-Mar-00",4.070282232,5.710912944,5.679812544,4.8096006,4.773139704,6.486969,5.174550168,5.941405896,3.73523892,13.672223568,7.895107272,4.855576872,5.087747088,4.406876928,3.430965192,4.65482676,3.21892404,4.565506704,4.24364448,6.264636744,5.307136056,4.750850568,5.899903896,5.937088968,3.659386392,6.259748688,3.616984968,3.079900512,4.037537808,4.638450984,4.68218028,4.026832944,5.149134288,9.317434776,10.329716928,5.925949584,4.632224688,4.427904,3.336703776,4.350298056,6.171274416,5.958684672
"09-Mar-00",5.584766856,5.651715864,4.742116224,6.327743064,5.4316746,6.673234464,22.554751392,11.123996256,9.084257832,14.537047872,6.669907104,9.136929984,9.766984464,11.18561196,8.77515864,6.409232856,11.469725136,9.665935992,6.781739472,9.82341528,6.181498296,6.479644056,3.214415424,4.779941448,3.302458416,5.533640016,10.108241568,5.23502076,10.936577808,5.873823888,9.857144592,4.726372008,5.902988088,0.495975528,2.5316652,4.713022104,5.061382056,5.437798272,6.926593056,5.748046872,6.149739504,6.705973152
"10-Mar-00",5.38823676,2.851766112,8.231845368,4.61468304,5.602008816,0.02421012,2.7866646,4.409353488,0.124701624,7.4872806,8.764833936,0.081858576,4.29674328,4.601322768,5.249899872,5.135732184,4.235965488,6.434497128,4.996189704,5.074107168,0.041732256,0.056622744,1.643481024,1.952651376,1.797772584,0.96528564,4.747514616,3.377202624,6.404258976,9.665380944,6.078113784,1.806281088,0.936838296,11.080764048,0,2.267255184,1.650208344,10.488956448,0.8464626,15.62540388,5.144497992,0
"11-Mar-00",2.10135,4.010133144,4.409710056,1.09004124,2.211801936,9.860568528,1.663992048,0.76047456,6.53954244,1.645449936,3.216907392,3.017632128,4.522528416,2.178125016,7.24760556,2.778963456,2.233735632,2.142392808,4.217726112,5.951433768,3.615428208,4.576402536,3.393517968,5.228575224,4.983919512,4.827242736,0.780403632,4.017993096,1.089729408,1.894632168,2.243842176,4.429646736,3.199469448,5.758413792,8.753731008,2.816048376,5.999628072,1.845852432,3.874213824,2.292706128,10.030516152,4.932986856
"12-Mar-00",1.249720656,0.732649632,0.752940864,1.263413616,0.779517624,0.781349928,0.446200992,1.369592616,0.606234888,0.421391184,1.104506928,1.144486344,0.5932164,2.150007072,2.284297584,1.49958516,2.208957552,0.756409776,0.736046256,0.570064056,1.459071552,0.774570552,0.633310272,2.71392024,8.431654224,1.427546928,2.898294576,2.1425652,0.999812808,1.4528346,0.783007176,1.449140568,0.795221424,1.735636176,4.599726312,1.548699264,1.5016626,1.414804632,0.771476904,1.880756736,1.505620848,0.801426984
"13-Mar-00",2.796068424,1.716652392,3.518982768,2.578864584,4.812551376,3.26199996,2.330952096,1.649094888,2.137678032,3.509884008,2.417115576,3.358602408,1.520221896,2.189377248,5.220824712,3.197858688,5.269660584,2.920827624,2.274000048,1.634180016,2.909291088,1.650091056,2.487042552,11.123567112,2.108697288,3.040649064,5.411968944,3.404667744,2.999904696,2.600442936,2.827292208,2.977833336,2.652687552,2.709116568,2.513374872,1.875603144,1.904323704,1.517929848,2.343679368,3.66963924,4.053580632,3.939786312
"14-Mar-00",0.847197984,6.20101404,1.227236592,8.714560752,3.058624512,2.269220712,1.236593664,0.072675912,1.576457616,0.476114544,0.640844112,0.644417256,1.196472456,2.458837872,0,1.124093688,1.295624424,2.406045384,6.256739616,2.282786784,4.30714488,1.602868968,1.970651496,2.331506616,1.974936432,1.404447456,7.816987752,6.648540984,4.1683842,0.225045096,1.827425112,1.617241848,1.415157432,1.941968496,4.90557468,1.61686224,0.703569,0.701669952,0.70382004,1.634385288,4.369043472,1.852861224
"15-Mar-00",1.887186888,2.514239064,1.677419016,2.602981392,1.981520544,2.57481552,3.768327,5.154599904,3.143099784,3.704604504,4.283773176,3.537542592,4.0599414,3.638116488,1.903879872,2.45517432,2.924861496,1.131579,2.81454312,3.18465828,1.831761888,2.707035888,0.884654856,1.4330838,0.879110712,1.784194704,1.661786016,1.457661336,3.124803912,3.005764248,2.308465368,1.864595184,2.885845536,0.654358056,1.596569352,2.266782216,2.313892728,3.742341768,3.073800456,2.469849936,2.378787336,2.12252748
