"date","Pixel15540521","Pixel15570522","Pixel15570521","Pixel15600520","Pixel15630520","Pixel15630519","Pixel15660518","Pixel15630518","Pixel15600519","Pixel15570519","Pixel15600518","Pixel15570518","Pixel15540518","Pixel15540519","Pixel15570520","Pixel15540520"
"01-Mar-00",4.988355528,5.17115808,5.436924576,7.2935586,9.041008464,8.975273616,9.774002544,10.200808536,8.502189864,7.286595576,7.986794472,7.24022484,8.5484748,6.967997784,6.162106272,5.37347424
"02-Mar-00",6.741902592,3.300334104,3.873186696,4.298627616,4.633157376,6.18751788,6.238234512,7.7763126,5.231565,5.239744656,5.089703688,4.869865176,7.028414016,6.26002908,4.039741152,5.659061184
"03-Mar-00",2.938694544,2.4808926,2.290728456,1.413783264,1.685793768,1.502095704,1.035988032,2.74824912,1.648498176,2.53361928,3.203889024,4.074232224,2.916286296,2.512863648,2.086469112,2.333069976
"04-Mar-00",12.044068344,13.941109656,18.617541792,27.258885384,15.588011736,15.691360464,14.790199752,15.291668424,14.965557576,17.547595032,15.344790456,16.199675568,15.124298568,18.11978388,20.68730736,33.167258256
"05-Mar-00",9.982773552,8.440404648,6.912615528,10.171516656,8.723495016,10.536425832,11.630548944,11.859565968,11.605709544,12.375277512,12.843239304,12.898703088,15.063797952,13.80120564,10.009248024,13.24632168
"06-Mar-00",2.327052888,3.031383624,2.917861272,1.056983928,0.98894136,0.97360764,1.822622544,1.770203592,1.443069768,1.290043032,0.998494512,1.221681288,1.188716592,1.587766344,1.822585872,1.978224624
"07-Mar-00",6.017903568,4.091836104,4.348585728,5.720719824,5.119527336,4.512721896,2.580305088,3.829272144,5.150306952,6.697922232,5.824219464,7.05724884,8.21775984,7.888989696,5.941560384,7.233354816
"08-Mar-00",4.07255424,4.03960776,4.255194072,4.068359616,3.6664356,3.515803104,3.68005728,3.054069408,2.44651116,2.72417844,2.04232944,1.672085352,1.830174384,3.025775304,7.379086728,3.009990336
"09-Mar-00",0.024912768,0,0.03046464,0.027164784,0.194510232,0.220371264,0.5066556,0.1695654,0.105726456,0.019099728,0.123929472,0.077835888,0.081054192,0.069216648,0.018291936,0.019207584
"10-Mar-00",11.390670072,12.921604152,11.582941536,11.315464488,15.484329696,13.826313984,11.083585728,13.388893608,9.994151832,7.974960576,9.60005808,7.700449704,7.10840964,7.385746488,9.201114168,8.646358968
"11-Mar-00",0.438209328,0.176757912,0.341063232,0.394508544,1.185670944,1.495807344,4.351084464,4.258201008,0.540106152,0.351050064,0.615779448,0.325609584,0.436451064,0.467124456,0.367607832,0.443638848
"12-Mar-00",2.369671752,1.965383112,2.390206944,2.113587672,2.464216416,1.69491792,1.745925672,1.709194248,2.241556056,1.720576632,2.210918064,1.727506752,2.434853016,1.14022332,2.954162112,1.244952936
"13-Mar-00",12.115558152,10.463313096,10.689714432,13.392910488,13.666661736,9.586799376,10.407654768,9.579403632,10.651150704,14.17280388,10.172970768,9.610578072,14.220595848,14.49542712,15.390013224,14.275993824
"14-Mar-00",0.065795424,0.59128104,0.05261376,0.343417848,0.377925888,1.218653712,1.056555576,1.034280984,1.916911656,1.303937304,2.03650368,3.44660496,3.291745296,2.611374384,0.028507752,0.635826192
"15-Mar-00",7.851241344,9.028491504,8.739633312,5.120061984,6.559304952,5.457588312,8.860178232,6.22645068,3.82906044,2.962619664,3.67070568,2.360242008,3.678748728,3.899686944,6.361899384,5.872791768
"16-Mar-00",13.894742496,5.59889316,6.868982088,7.760237928,7.467731232,8.657388936,7.45164228,9.43761564,8.571202752,10.47807168,10.463381064,10.55114364,6.246871224,6.619912872,9.03594804,6.419020416
